dataset,dataset_label,subject,n_classes,experiment_key,experiment,val_accuracy,val_Brier,val_ECE,val_NLL,heldout_accuracy,heldout_Brier,heldout_ECE,heldout_NLL,heldout_Brier_uncalibrated,heldout_ECE_uncalibrated,chance_accuracy,chance_Brier,temperature,temperature_at_clamp,n_patches,window_seconds,selection_split,eval_labels_used_for_selection,audit_json
lee2019_mi,Lee2019_MI,1,2,cbramod_finetune_sel,cbramod_finetune,0.525,0.4875242148073197,0.2733589773611336,0.6801536051447539,0.575,0.4814140072765478,0.15453849782192292,0.6741433997301332,0.48366212272101466,0.15875396550023207,0.5,0.5,0.7286058664321899,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 2, ""selection_Brier_at_selected_epoch"": 0.4882107308817506, ""val_brier_curve"": [0.5051334249764503, 0.5017007208350771, 0.4882107308817506, 0.5156235688745141, 0.5403171526390387, 0.6759905414334584, 0.5670884066648585, 0.6456261836817017, 0.6229791034826588, 0.6402009770753805, 0.6980701085494676, 0.6142688544550619, 0.6837578790320278, 0.5806906592393183, 0.5705986051731934, 0.6234106752840137, 0.658814894504124, 0.65577581338879, 0.61511413018643, 0.626139394311499, 0.6257669768980968, 0.6697681421168044, 0.5700695525737048, 0.6279148808562773, 0.6038313849644131, 0.617964892957794, 0.5766381515157605, 0.5694541679762797, 0.5345442753397881, 0.5849587740662756, 0.6058050847171248, 0.5871236657698251, 0.6014075114604237, 0.6076049782265109, 0.6153999301482458, 0.6125491566517354, 0.6247983199944018, 0.6171558287039772, 0.6195036653670715, 0.6002748389727637, 0.6049699216324008, 0.5977493486465957, 0.5902758162704735, 0.5943422509012745, 0.6066497191661198, 0.6038530184592446, 0.6014910992068995, 0.6001160940939452, 0.6001979658957666, 0.6007544436869996, 0.6007704949218535, 0.5996669621285163, 0.5999206839818163, 0.6003074847425629, 0.599832684905882, 0.600404787412201, 0.6002844949014357, 0.6002417515310959, 0.6002958145586386, 0.6003144936257269], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,2,2,cbramod_finetune_sel,cbramod_finetune,0.775,0.40380440847545057,0.23903379519291748,0.6029493460472212,0.77,0.3437720711543153,0.12045762926139711,0.5183792612489342,0.35131982109286525,0.14251526605888404,0.5,0.5,2.5993404388427734,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 8, ""selection_Brier_at_selected_epoch"": 0.3953938627633006, ""val_brier_curve"": [0.4936769838994877, 0.4772999609945587, 0.41637601306803057, 0.44501582338777573, 0.5446321577066641, 0.5481813594634525, 0.5696711505990285, 0.4235035949521279, 0.3953938627633006, 0.3997566947321455, 0.4187876748765428, 0.4840028625044866, 0.4028821365531334, 0.4412682431869038, 0.5052495410933698, 0.4234494104118798, 0.4421976043924708, 0.460276348537999, 0.45150953243566205, 0.4837338585564054, 0.44207013404770823, 0.4737371989614097, 0.4367317245498028, 0.4463810438740957, 0.43726841467168287, 0.4280878969036085, 0.43462436825838785, 0.4553567095736364, 0.45462332724063687, 0.4294593370968232, 0.40774629555092323, 0.4131472809339963, 0.4385847927273357, 0.44287401463972403, 0.4130332015336432, 0.4269204812365892, 0.4434780927895055, 0.44977719353328993, 0.44176518798313713, 0.4411503569704294, 0.44428460768131445, 0.4401403042595093, 0.4394906224569507, 0.4298514171118013, 0.42260400163255485, 0.4265360754127415, 0.43531509544708, 0.43226740764330146, 0.4249867445784975, 0.42185648740056136, 0.42175641175592415, 0.4224051162553352, 0.4245986728013049, 0.4252072231322718, 0.42457160872719424, 0.4245506010799652, 0.42461525611693024, 0.424838136127968, 0.42496267846910774, 0.42497721865001603], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,3,2,cbramod_finetune_sel,cbramod_finetune,0.825,0.2710065450655487,0.16185049441545868,0.43459906474816884,0.66,0.4727292597553254,0.17546098886273692,0.7435240356592848,0.4783767009661392,0.18219635534481451,0.5,0.5,1.06186044216156,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 12, ""selection_Brier_at_selected_epoch"": 0.2702257182190286, ""val_brier_curve"": [0.4976336611829792, 0.48661463540786765, 0.4865125902856991, 0.4771156183066739, 0.586801843924406, 0.4085350345198034, 0.33176317447471765, 0.34289436966113734, 0.2982088912416493, 0.3168481419177297, 0.2994143944646016, 0.3337211123338932, 0.2702257182190286, 0.28885544725446827, 0.33155200049349765, 0.32105165913129724, 0.2898047484462244, 0.27679673504094826, 0.30067415077558185, 0.3036397220523234, 0.32701534794114345, 0.27457057034269705, 0.2999240568785349, 0.31245182812640193, 0.3400363789300915, 0.3169364311635123, 0.29267138980575036, 0.3060608729269815, 0.310647190249019, 0.3330229778238351, 0.3087373367693428, 0.29785004861721986, 0.30646198155369553, 0.3170965637767168, 0.32132667606347204, 0.32920093749675067, 0.31918978379444185, 0.32344082869766405, 0.32289889720283094, 0.31741689128744455, 0.31263149739330875, 0.3100245927905257, 0.31888437152425225, 0.32601006380094694, 0.3244549951110693, 0.32298154965792214, 0.3177328694040489, 0.31183384881266074, 0.30655018922879196, 0.3064598939475809, 0.3108273171178555, 0.31339754538605497, 0.31493333595978373, 0.3149984801299732, 0.3151678667667046, 0.3154311372224867, 0.3155646602487626, 0.3156760187805828, 0.31557621920299167, 0.3155743025720471], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,4,2,cbramod_finetune_sel,cbramod_finetune,0.9,0.12059152866947068,0.05925374885051345,0.18532387383542281,0.835,0.26381000731321763,0.11762981958854551,0.5236844683906164,0.21472847128610162,0.05746370642890172,0.5,0.5,0.38424402475357056,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 14, ""selection_Brier_at_selected_epoch"": 0.14522281922216734, ""val_brier_curve"": [0.5021932058603926, 0.26407460180640935, 0.3203890897075278, 0.1621997807059139, 0.1543125035307528, 0.331233908509098, 0.2424435979044798, 0.21112686571890876, 0.21690697004898407, 0.3268060664352498, 0.25894528821621104, 0.18541072422293847, 0.2405005849641159, 0.21730884375190662, 0.14522281922216734, 0.24179322100650139, 0.1905314147292974, 0.1917902466976946, 0.17995899445676342, 0.20205883167270572, 0.19544659894930205, 0.1820033805375223, 0.19097953869391354, 0.20523357672578388, 0.17968804981338407, 0.21177177239139464, 0.19246580592766144, 0.19879004848495802, 0.15537012018607504, 0.17258750180441212, 0.16828525529515787, 0.16131029417599524, 0.1591794869277759, 0.18020245260559825, 0.166117028352275, 0.19296288047253607, 0.19142266442959946, 0.17269612281301755, 0.1823871728991655, 0.18009434959175322, 0.17542672528353467, 0.18347497531014573, 0.17926458290327985, 0.19022372442967406, 0.18559243532364833, 0.19050966303728187, 0.1856422493125663, 0.18359724183644244, 0.18770856500197414, 0.18532736008234343, 0.18512701368685397, 0.1853657222446363, 0.18394281316111372, 0.18316011522651654, 0.1842962761636929, 0.18673565217549318, 0.1880055098819744, 0.18790393974324845, 0.1877297071696879, 0.18770174822094027], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,5,2,cbramod_finetune_sel,cbramod_finetune,0.8,0.28755243776382294,0.1724507290925288,0.4611368071838247,0.615,0.5246910300923386,0.1858002545202572,0.805035465397527,0.5252877054477234,0.18630226227128382,0.5,0.5,1.005466103553772,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 6, ""selection_Brier_at_selected_epoch"": 0.28739375968856773, ""val_brier_curve"": [0.4916178732673423, 0.40536131465118863, 0.29173471352416114, 0.4270455472324285, 0.34241357816212, 0.31443878425521443, 0.28739375968856773, 0.3123515216142921, 0.3171909716186567, 0.3756773571776943, 0.31526223105800383, 0.3140582713342245, 0.3479440003179898, 0.3230666821762158, 0.3392792430152344, 0.35333167177317554, 0.325763316221752, 0.33112706035077827, 0.30846314096286376, 0.32231042923983855, 0.3233643511503964, 0.33658280918156364, 0.31863003409075275, 0.3162733935939862, 0.36279371027528995, 0.3300143332918978, 0.33871878851814013, 0.3571691540053469, 0.3319750712880821, 0.3307025697655696, 0.34628665164030525, 0.3552954337779878, 0.3465537092496259, 0.34307211122860587, 0.3366861050306412, 0.345776490831477, 0.32989568817967757, 0.3441299558370553, 0.3435529592359298, 0.3521221517600287, 0.34606600701006124, 0.34913662101453236, 0.34311947337760007, 0.34324296425067774, 0.3440830688259139, 0.3424381446051009, 0.3421782246177081, 0.33401952249439304, 0.3329685134334981, 0.3377033423586163, 0.33877302872512993, 0.3417530183449105, 0.3417528945291112, 0.3403275490588026, 0.3387124930871652, 0.33799268792934833, 0.3385230612758229, 0.3387251333543442, 0.3389044053981972, 0.3389281743243548], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,6,2,cbramod_finetune_sel,cbramod_finetune,0.975,0.037815900073217876,0.01343964350943736,0.05774549610400409,0.96,0.06574800885570026,0.022577452647486205,0.11533194539651301,0.05975326021471965,0.014243695032979313,0.5,0.5,0.5018401145935059,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 8, ""selection_Brier_at_selected_epoch"": 0.0407792151319227, ""val_brier_curve"": [0.4757175769272296, 0.19809462285791699, 0.11854285883626274, 0.05898170643596603, 0.07101615982430351, 0.07088892292646401, 0.04756238350236743, 0.046870770294641775, 0.0407792151319227, 0.06643276823225133, 0.14120034630921213, 0.10206141820323086, 0.06604281734731923, 0.0768132247512906, 0.0874032080414844, 0.11655880921174486, 0.06505756250178163, 0.09238397603850247, 0.09143853207679432, 0.10729902923510641, 0.12032774129346857, 0.0996029542034472, 0.09439038972502638, 0.09478661628064478, 0.09668689467056321, 0.10893890882106527, 0.10414322822210206, 0.1013241507570278, 0.09581560513591891, 0.09716459395018687, 0.09330068235088936, 0.09067093449195647, 0.09490756087016208, 0.08921476023408542, 0.10238801189058974, 0.10227428688245258, 0.09152965244494808, 0.10091615108909942, 0.0976526788674057, 0.09695675394807246, 0.10364058884464003, 0.0976704184043001, 0.10273439158362566, 0.09987447012853726, 0.09773198028942723, 0.09714489908933188, 0.09931115400504505, 0.09972899879447776, 0.09926700622594373, 0.09982838118894814, 0.10129713286843371, 0.10061852382672262, 0.10100005333049052, 0.099861422829993, 0.09924920695074439, 0.09903656015066742, 0.09964182221164229, 0.09998581225203745, 0.1000332021210242, 0.10002601731182367], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,7,2,cbramod_finetune_sel,cbramod_finetune,0.85,0.19842664334905571,0.07714227849084844,0.2885768906196037,0.695,0.43516283879414813,0.16946669486974383,0.6365059182272078,0.42025960197510187,0.1514954135129476,0.5,0.5,0.842024028301239,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 3, ""selection_Brier_at_selected_epoch"": 0.19608732934309714, ""val_brier_curve"": [0.4849266946852758, 0.23652412252062288, 0.43126035138055263, 0.19608732934309714, 0.21949002179539967, 0.2885241385928329, 0.2829028827953667, 0.4223215578846654, 0.3674643259416478, 0.39445072824932226, 0.3097320243577347, 0.3037266193699858, 0.3684320300750213, 0.31512038847407464, 0.3213212211580486, 0.3311656391956289, 0.31612286182218957, 0.3026738672799981, 0.3377036718699883, 0.3954908341598731, 0.3079693711650683, 0.29659922479367146, 0.3198023971281473, 0.35102206373402595, 0.3538518254830369, 0.33265110502677525, 0.30471592384648616, 0.31469717089957977, 0.3530205917081669, 0.3255752171673001, 0.34015547934926443, 0.3421586710734668, 0.3479701795065931, 0.33790341270957824, 0.31083383074568605, 0.3180955061254148, 0.33395480612911904, 0.33012637676679724, 0.32982763915174723, 0.32619758613881344, 0.33685314370222885, 0.33541841844792664, 0.33620638665561947, 0.33271142616957194, 0.32782375188990887, 0.3212715486357389, 0.32463556124795223, 0.32342124136461176, 0.3222841997437207, 0.3213717909876981, 0.32199705011300084, 0.3243487946331922, 0.32542230930213095, 0.3254586752483835, 0.3249275088131985, 0.3246825119779127, 0.32483943634367113, 0.3249022083655907, 0.324836404806685, 0.32482971078780054], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,8,2,cbramod_finetune_sel,cbramod_finetune,0.875,0.16526839742713192,0.07980519602040116,0.24919250948611396,0.675,0.4148503269863415,0.13011441060194048,0.6268410911320088,0.43164697658537965,0.1551247279945984,0.5,0.5,1.2274667024612427,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 3, ""selection_Brier_at_selected_epoch"": 0.1740048710266061, ""val_brier_curve"": [0.490147643612371, 0.22938575616619516, 0.18513471419129232, 0.1740048710266061, 0.18968101285638297, 0.19750303473111525, 0.1966967383747888, 0.19749414047862057, 0.18809865061102568, 0.20050107027472705, 0.21845016500250392, 0.18974121216338888, 0.2050946928185135, 0.22479271351023072, 0.2307546405117455, 0.2018374718626542, 0.1839909202146107, 0.19177835711783814, 0.1974313774235489, 0.19482239348432698, 0.1968286604323736, 0.20900576190197445, 0.20530662667727273, 0.19992491905495102, 0.20091719430062732, 0.21080602617867478, 0.19996920581645833, 0.1845952970612525, 0.19259997175178023, 0.190059723104243, 0.19630576516671283, 0.19485935158872533, 0.19505213210922595, 0.1928333032906687, 0.19298049475784257, 0.19147434595261595, 0.19698006834038678, 0.19870210423122647, 0.19323625573965134, 0.19911235371823305, 0.20014544163717457, 0.20296863483301836, 0.19965038199665558, 0.2037702540583104, 0.2019397666402011, 0.2057947750432243, 0.2009666462443625, 0.1988468796128938, 0.20218074366833463, 0.2020096115213022, 0.201142162884807, 0.2010970243680911, 0.20154777125003837, 0.20124963352319875, 0.20135288731293027, 0.20136164648188837, 0.20150250436463585, 0.20149305248694974, 0.20148115619638976, 0.20147415300177657], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,9,2,cbramod_finetune_sel,cbramod_finetune,0.475,0.5000274948516437,0.3000870143204624,0.6931746750688428,0.565,0.4998913022393242,0.08491145748232387,0.6930384828679337,0.49816754760589943,0.08322830010854389,0.5,0.5,20.0,True,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 0, ""selection_Brier_at_selected_epoch"": 0.5009983184669625, ""val_brier_curve"": [0.5009983184669625, 0.5097793541314056, 0.533801760080068, 0.5295892596046018, 0.6727168644756928, 0.593387393951099, 0.7414833957045778, 0.7421186137529079, 0.7624934111630658, 0.737561225837493, 0.7034001292080974, 0.696802627153255, 0.7159732863592738, 0.7551927451647493, 0.748636434707224, 0.7294561517885032, 0.6643804978708969, 0.6940048353333064, 0.6712046068613642, 0.631758003445355, 0.6735313203333538, 0.6979403089910801, 0.7013213260832302, 0.6625306737839597, 0.6664691000931235, 0.660975044831526, 0.6858222870124434, 0.6862422427279802, 0.6754200555428352, 0.6692293548048426, 0.7011693122414707, 0.6912644751972274, 0.6678782875851308, 0.6630481698068351, 0.6655570526376098, 0.6642234756219938, 0.6532154543448574, 0.6662661878003128, 0.6563327766123802, 0.6819314849431745, 0.6689996473022057, 0.6572301550889856, 0.659260746923264, 0.662666176713526, 0.6704208006710981, 0.6747987168546521, 0.6681298712024137, 0.6601692079352113, 0.6575896089570344, 0.6599436273180121, 0.6642821075984271, 0.6656671028114536, 0.6658510023935331, 0.6657560462562585, 0.6656769046186283, 0.666025497948227, 0.6655569952252888, 0.6652513963929826, 0.6653320919746701, 0.66534697877049], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
lee2019_mi,Lee2019_MI,10,2,cbramod_finetune_sel,cbramod_finetune,0.5,0.5000013985587876,0.23186500116286574,0.6931455949936932,0.485,0.49820748972703094,0.13003805357265008,0.6913506022756141,0.49820743234523573,0.1300377749668369,0.5,0.5,1.0000563859939575,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""finetune_end_to_end"", ""selected_epoch"": 0, ""selection_Brier_at_selected_epoch"": 0.5000014304589907, ""val_brier_curve"": [0.5000014304589907, 0.5148715882893284, 0.5683512693300181, 0.6680430831412695, 0.8041237173267097, 0.8049570783439041, 0.8650336435072721, 0.8213312222782589, 0.8805491538913459, 0.7601719283076297, 0.8237134298986446, 0.729006077844414, 0.7578802717150003, 0.7483176627855281, 0.7584677647691612, 0.7157583188655032, 0.7082857565340133, 0.7223511974708499, 0.7282388105827122, 0.7065561404873888, 0.7467868623699291, 0.653160165041248, 0.696254919345391, 0.6675257422191809, 0.7092915457256286, 0.6785463946830872, 0.6731597777451462, 0.6987520686873984, 0.6796562001946758, 0.683357154260708, 0.7051850844459852, 0.6861742085201759, 0.6545917488423243, 0.6782135344482387, 0.6722302274117162, 0.6745367428650371, 0.6464998005496871, 0.6506617211266239, 0.6398907080824682, 0.656340441898486, 0.661954702790523, 0.6446730448740388, 0.649350182217687, 0.652597975868962, 0.6457495702029137, 0.6512792944332865, 0.6469496382337574, 0.6498472496196465, 0.6546668126356362, 0.6517726447755041, 0.6502119716401102, 0.6522300259533929, 0.6508311835344051, 0.6525250429436741, 0.6543521063587959, 0.6555691410066025, 0.6554598462736034, 0.6552215619381677, 0.6550324907467933, 0.6550157439485882], ""epochs"": 60, ""lr"": 0.0005, ""layer_decay"": 0.9, ""weight_decay"": 0.05, ""label_smoothing"": 0.1, ""finetune_batch_size"": 16, ""steps_per_epoch"": 10, ""total_steps"": 600, ""warmup_steps"": 60, ""freeze_blocks"": 0, ""n_frozen_tensors"": 0, ""n_frozen_modules_in_eval"": 0, ""head_warmup_epochs"": 0, ""n_trainable_parameters"": 5023002, ""model"": ""cbramod"", ""builder"": ""CBraMod"", ""checkpoint"": ""braindecode/cbramod-pretrained"", ""pretrained"": true, ""n_parameters"": 5023202, ""n_times"": 800, ""n_chans"": 62, ""amplitude_divisor"": 100.0}"
