dataset,dataset_label,subject,n_classes,experiment_key,experiment,val_accuracy,val_Brier,val_ECE,val_NLL,heldout_accuracy,heldout_Brier,heldout_ECE,heldout_NLL,heldout_Brier_uncalibrated,heldout_ECE_uncalibrated,chance_accuracy,chance_Brier,temperature,temperature_at_clamp,n_patches,window_seconds,selection_split,eval_labels_used_for_selection,audit_json
bci4_2a,BCI_IV_2a,1,4,labram_frozen_randinit_p2,labram_base_frozen,0.3103448275862069,0.7341702769875273,0.2448299752019312,1.3559507365639638,0.3298611111111111,0.7211707360778044,0.0764042080891814,1.3281004077548166,0.7220188934340331,0.08334456995353967,0.25,0.75,0.9382516741752625,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7342830023123144, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,1,4,labram_frozen_randinit_p4,labram_base_frozen,0.22413793103448276,0.7491496165976287,0.18023156352264413,1.3838371955015172,0.3506944444444444,0.7407710630463558,0.12423828227156683,1.3680445107717543,0.7303572760190716,0.12653116326355404,0.25,0.75,2.668593645095825,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7548372785070564, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,2,4,labram_frozen_randinit_p2,labram_base_frozen,0.27586206896551724,0.749200129803427,0.1610418939987439,1.3847457777180783,0.28125,0.7487221036363647,0.07922082233838756,1.3836799231118866,0.749935024749576,0.10151699840762986,0.25,0.75,2.3208541870117188,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7504276884718565, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,2,4,labram_frozen_randinit_p4,labram_base_frozen,0.1896551724137931,0.7506083523809847,0.16510650335536323,1.3875104155851523,0.3090277777777778,0.7497337644118157,0.10840159203845136,1.3857654497152607,0.7487937806279918,0.09266872998558948,0.25,0.75,20.0,True,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7682347720090873, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,3,4,labram_frozen_randinit_p2,labram_base_frozen,0.4482758620689655,0.7142113504369078,0.15961858441927856,1.3234964902571233,0.3194444444444444,0.745386482672631,0.09831440998877383,1.3788340069244254,0.7713482916594003,0.14771134601177469,0.25,0.75,1.619297742843628,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.01, ""selection_Brier_at_selected_C"": 0.7203187446465802, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,3,4,labram_frozen_randinit_p4,labram_base_frozen,0.3620689655172414,0.7267169311676668,0.20542023407421728,1.3510775985860457,0.3368055555555556,0.7422178888803909,0.05548414333379115,1.371006526522291,0.7694239357538508,0.10644858213877482,0.25,0.75,2.1432268619537354,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.01, ""selection_Brier_at_selected_C"": 0.7345113238915552, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,4,4,labram_frozen_randinit_p2,labram_base_frozen,0.3448275862068966,0.7181726025895345,0.19342818383760252,1.3062948675386499,0.2986111111111111,0.7452336875488567,0.11798648781278842,1.3727223824539014,0.7382020450365242,0.09726242884148438,0.25,0.75,0.38557010889053345,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.725771826177894, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,4,4,labram_frozen_randinit_p4,labram_base_frozen,0.25862068965517243,0.731190853891594,0.17408983113839493,1.3377348109370795,0.3298611111111111,0.7365797749191239,0.08304718310384755,1.3578644926050103,0.7374030502003619,0.06890519758774298,0.25,0.75,0.5052974224090576,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7327294893376473, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,5,4,labram_frozen_randinit_p2,labram_base_frozen,0.27586206896551724,0.7483632639471547,0.13655663731047413,1.3830437339472395,0.3298611111111111,0.7433309495437164,0.09104722785301811,1.372759631713794,0.7396409299072996,0.0733488407247595,0.25,0.75,2.070087432861328,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7502841719327229, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,5,4,labram_frozen_randinit_p4,labram_base_frozen,0.1896551724137931,0.7502652328063424,0.17314666963758316,1.3868297928314872,0.2743055555555556,0.7495489690122572,0.09706382176682221,1.3853896943650053,0.7470547871618101,0.11224646447970617,0.25,0.75,20.0,True,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7604941188425424, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,6,4,labram_frozen_randinit_p2,labram_base_frozen,0.43103448275862066,0.7052406050006563,0.19930410096951212,1.318315417725894,0.3506944444444444,0.7302164082790319,0.09962643735889724,1.3499757173551363,0.7543143727493175,0.1318480874692473,0.25,0.75,1.7921621799468994,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.01, ""selection_Brier_at_selected_C"": 0.7071183774121292, ""checkpoint"": ""random_init"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
