dataset,dataset_label,subject,n_classes,experiment_key,experiment,val_accuracy,val_Brier,val_ECE,val_NLL,heldout_accuracy,heldout_Brier,heldout_ECE,heldout_NLL,heldout_Brier_uncalibrated,heldout_ECE_uncalibrated,chance_accuracy,chance_Brier,temperature,temperature_at_clamp,n_patches,window_seconds,selection_split,eval_labels_used_for_selection,audit_json
bci4_2a,BCI_IV_2a,1,4,labram_frozen_p2,labram_base_frozen,0.43103448275862066,0.7186812467586483,0.2587288346400436,1.3247736197373614,0.3368055555555556,0.725364866971128,0.10647534965719786,1.3385367102941796,0.740036663111564,0.12497384065770994,0.25,0.75,1.6906765699386597,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.01, ""selection_Brier_at_selected_C"": 0.7306436184511388, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,1,4,labram_frozen_p4,labram_base_frozen,0.39655172413793105,0.6862490828798231,0.21627542956495216,1.2543384800780786,0.2986111111111111,0.7803605217640568,0.16669125086544823,1.4333966524794468,0.7871716088575478,0.17053579302976285,0.25,0.75,1.0592961311340332,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.01, ""selection_Brier_at_selected_C"": 0.6873113880546142, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,2,4,labram_frozen_p2,labram_base_frozen,0.25862068965517243,0.7451698370608459,0.15871880120331905,1.3760220526256648,0.2708333333333333,0.7520223469778862,0.10037644034830624,1.38934104397586,0.7526975769087332,0.0946177847769136,0.25,0.75,1.0658451318740845,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7452314077636435, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,2,4,labram_frozen_p4,labram_base_frozen,0.25862068965517243,0.750397102706237,0.17296988732176602,1.387097275808114,0.2638888888888889,0.7496830986511864,0.06766768690343941,1.3856574304884957,0.750747622571674,0.0996214726155153,0.25,0.75,20.0,True,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7616763168055978, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,3,4,labram_frozen_p2,labram_base_frozen,0.41379310344827586,0.7278925608963204,0.1603470950443451,1.3505117518598069,0.3784722222222222,0.7168711580233313,0.073128393194658,1.3261533031459032,0.7194231057413595,0.09362046668378177,0.25,0.75,0.7949544191360474,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7299909299211818, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,3,4,labram_frozen_p4,labram_base_frozen,0.3620689655172414,0.7221109125507815,0.18208203286441965,1.3367679002667996,0.3298611111111111,0.731402272990258,0.10360687765768961,1.352295930777897,0.7277668654606132,0.10348120535086436,0.25,0.75,0.6312424540519714,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7267393888694972, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,4,4,labram_frozen_p2,labram_base_frozen,0.25862068965517243,0.7500692643288599,0.1386926441003613,1.3864357456704686,0.3020833333333333,0.7493218713061578,0.07999946521271108,1.3849393109119583,0.7435180099387018,0.06437761483594409,0.25,0.75,20.0,True,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7553475357931051, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,4,4,labram_frozen_p4,labram_base_frozen,0.25862068965517243,0.7500812702880137,0.24188288767182112,1.386453110128958,0.3159722222222222,0.7492069277240786,0.09436672527060955,1.384708443504492,0.7404906990212735,0.0702750060867323,0.25,0.75,20.0,True,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7571909600304755, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,5,4,labram_frozen_p2,labram_base_frozen,0.25862068965517243,0.7489574640956548,0.16913664276051976,1.3840987858646365,0.3055555555555556,0.7463415849807222,0.0841045637775617,1.3791937489801955,0.7455194327688824,0.07910946817074833,0.25,0.75,1.537786841392517,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7493450487084005, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,5,4,labram_frozen_p4,labram_base_frozen,0.27586206896551724,0.750101871449153,0.1984059516237232,1.386504581720612,0.2638888888888889,0.7495967172876482,0.08273582270987236,1.3854884738930053,0.7472274031193279,0.08389611621934928,0.25,0.75,20.0,True,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7565998724604008, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,6,4,labram_frozen_p2,labram_base_frozen,0.3448275862068966,0.7415407504401517,0.20149285393227445,1.363506737253134,0.2951388888888889,0.7465694491476328,0.08105126295988764,1.3797736985585198,0.7448167863595617,0.0816462722318708,0.25,0.75,0.7368573546409607,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7410013041296781, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,6,4,labram_frozen_p4,labram_base_frozen,0.29310344827586204,0.7500138483891559,0.18115735257247415,1.386329136466115,0.2673611111111111,0.749875035086994,0.06497821073689054,1.3860439351263656,0.753719170525035,0.07369277687951029,0.25,0.75,20.0,True,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7548033436325433, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,7,4,labram_frozen_p2,labram_base_frozen,0.3275862068965517,0.7385599411771879,0.15011726188489305,1.361287714706767,0.3055555555555556,0.7428132328724009,0.08977776381079723,1.372655875471872,0.7425468760621841,0.0855495484444806,0.25,0.75,0.712028443813324,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7390740979450088, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,7,4,labram_frozen_p4,labram_base_frozen,0.3275862068965517,0.7259544821511132,0.24521371817158746,1.3517761990546646,0.3576388888888889,0.7311569203018947,0.07712670798117312,1.3545600335561798,0.7405796191670397,0.07456019752336271,0.25,0.75,1.776850938796997,False,4,4.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.01, ""selection_Brier_at_selected_C"": 0.7229331980105764, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
bci4_2a,BCI_IV_2a,8,4,labram_frozen_p2,labram_base_frozen,0.3448275862068966,0.7196851272645746,0.18755285101864436,1.320087821672747,0.375,0.7294815781230954,0.08654020278883452,1.348743903663543,0.7324072542562678,0.0917123089107465,0.25,0.75,0.4894895851612091,False,2,2.0,A0xT_validation,False,"{""adaptation"": ""frozen_linear_probe"", ""selected_C"": 0.001, ""selection_Brier_at_selected_C"": 0.7258143915190537, ""checkpoint"": ""/Volumes/kz_extended/CalibMI/third_party/LaBraM/checkpoints/labram-base.pth"", ""n_parameters"": 5819936, ""feature_dim"": 200}"
