dataset,subject,experiment_key,AUROC,accuracy
bci4_2a,1,cbramod_frozen_p2,0.6653645833333334,0.4131944444444444
bci4_2a,2,cbramod_frozen_p2,0.6139724794238683,0.3888888888888889
bci4_2a,3,cbramod_frozen_p2,0.679591049382716,0.4166666666666667
bci4_2a,4,cbramod_frozen_p2,0.6776459619341564,0.4270833333333333
bci4_2a,5,cbramod_frozen_p2,0.6838348765432098,0.4270833333333333
bci4_2a,6,cbramod_frozen_p2,0.48252636316872427,0.23958333333333334
bci4_2a,7,cbramod_frozen_p2,0.7649016203703703,0.4965277777777778
bci4_2a,8,cbramod_frozen_p2,0.6287454989711934,0.3645833333333333
bci4_2a,9,cbramod_frozen_p2,0.6517650462962963,0.3611111111111111
bci4_2a,1,cbramod_frozen_p4,0.5484664351851852,0.2604166666666667
bci4_2a,2,cbramod_frozen_p4,0.4976530349794239,0.2361111111111111
bci4_2a,3,cbramod_frozen_p4,0.5456211419753086,0.2708333333333333
bci4_2a,4,cbramod_frozen_p4,0.6471836419753086,0.3715277777777778
bci4_2a,5,cbramod_frozen_p4,0.6740933641975309,0.4131944444444444
bci4_2a,6,cbramod_frozen_p4,0.6447241512345679,0.3819444444444444
bci4_2a,7,cbramod_frozen_p4,0.751125257201646,0.4965277777777778
bci4_2a,8,cbramod_frozen_p4,0.6141975308641976,0.3541666666666667
bci4_2a,9,cbramod_frozen_p4,0.5735757458847737,0.3055555555555556
bci4_2a,1,cbramod_frozen_randinit_p2,0.5962577160493827,0.3333333333333333
bci4_2a,2,cbramod_frozen_randinit_p2,0.5208333333333333,0.2569444444444444
bci4_2a,3,cbramod_frozen_randinit_p2,0.5328414351851852,0.2638888888888889
bci4_2a,4,cbramod_frozen_randinit_p2,0.609985853909465,0.3298611111111111
bci4_2a,5,cbramod_frozen_randinit_p2,0.5731899434156378,0.3263888888888889
bci4_2a,6,cbramod_frozen_randinit_p2,0.544849537037037,0.2708333333333333
bci4_2a,7,cbramod_frozen_randinit_p2,0.6281989454732511,0.3680555555555556
bci4_2a,8,cbramod_frozen_randinit_p2,0.5555073302469136,0.2673611111111111
bci4_2a,9,cbramod_frozen_randinit_p2,0.5962255658436214,0.375
bci4_2a,1,cbramod_frozen_randinit_p4,0.5458944187242798,0.3020833333333333
bci4_2a,2,cbramod_frozen_randinit_p4,0.5288869598765432,0.24305555555555555
