pretrained,control,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
cbramod_finetune_sel,cbramod_finetune_randinit_sel,Brier,9,0.649258199208129,0.7395714756906053,-0.09031327648247653,8,0.0078125,0.00390625,0.08333333333333333
cbramod_frozen_p2,cbramod_frozen_randinit_p2,Brier,9,0.7079814206092228,0.7405666333389617,-0.03258521272973897,7,0.01953125,0.00390625,0.10416666666666666
cbramod_loso,cbramod_loso_randinit,Brier,9,0.7180968247854236,0.7485638982411387,-0.0304670734557152,8,0.02734375,0.00390625,0.109375
cbramod_frozen_p4,cbramod_frozen_randinit_p4,Brier,9,0.7293433980050197,0.7488086687940494,-0.019465270789029723,6,0.12890625,0.00390625,0.29464285714285715
labram_finetune_sel,labram_finetune_randinit_sel,Brier,9,0.7323514279289522,0.7478840316957215,-0.015532603766769324,4,0.49609375,0.00390625,0.7215909090909091
labram_loso,labram_loso_randinit,Brier,9,0.7463556693441223,0.7466373638521148,-0.00028169450799240024,3,0.49609375,0.00390625,0.7215909090909091
labram_frozen_p4,labram_frozen_randinit_p4,Brier,9,0.739987032086383,0.7444919988298293,-0.0045049667434463835,5,0.734375,0.00390625,0.9038461538461539
labram_frozen_p2,labram_frozen_randinit_p2,Brier,9,0.7322879363977352,0.7447286240064028,-0.012440687608667702,3,0.91015625,0.00390625,0.939516129032258
cbramod_loso,cbramod_loso_randinit,ECE,9,0.11579948490685976,0.0888197682097548,0.026979716697104947,1,0.07421875,0.00390625,0.2638888888888889
cbramod_finetune_sel,cbramod_finetune_randinit_sel,ECE,9,0.12361368523311393,0.0993461341816682,0.024267551051445752,3,0.12890625,0.00390625,0.29464285714285715
cbramod_frozen_p4,cbramod_frozen_randinit_p4,ECE,9,0.10785974046208777,0.08433862004247011,0.023521120419617677,3,0.12890625,0.00390625,0.29464285714285715
cbramod_frozen_p2,cbramod_frozen_randinit_p2,ECE,9,0.10304608934702114,0.09017418914812346,0.012871900198897689,3,0.30078125,0.00390625,0.5661764705882353
labram_frozen_p4,labram_frozen_randinit_p4,ECE,9,0.09335862285106107,0.08232295460358217,0.011035668247478902,4,0.359375,0.00390625,0.6388888888888888
labram_frozen_p2,labram_frozen_randinit_p2,ECE,9,0.08738035015600706,0.09296972630359503,-0.005589376147587954,5,0.65234375,0.00390625,0.8697916666666666
labram_finetune_sel,labram_finetune_randinit_sel,ECE,9,0.09757007898405178,0.09269672507924603,0.004873353904805733,6,0.91015625,0.00390625,0.939516129032258
labram_loso,labram_loso_randinit,ECE,9,0.08401199656687484,0.08235073457755526,0.0016612619893195757,4,0.91015625,0.00390625,0.939516129032258
cbramod_finetune_sel,cbramod_finetune_randinit_sel,NLL,9,1.2115988478753126,1.372594173657247,-0.16099532578193437,8,0.01171875,0.00390625,0.09375
cbramod_frozen_p2,cbramod_frozen_randinit_p2,NLL,9,1.3066475888047877,1.3700582914497634,-0.06341070264497572,7,0.02734375,0.00390625,0.109375
cbramod_loso,cbramod_loso_randinit,NLL,9,1.3346781939928212,1.3835591030914394,-0.048880909098618246,6,0.12890625,0.00390625,0.29464285714285715
cbramod_frozen_p4,cbramod_frozen_randinit_p4,NLL,9,1.357019104296134,1.3863995313223423,-0.029380427026208505,6,0.30078125,0.00390625,0.5661764705882353
labram_finetune_sel,labram_finetune_randinit_sel,NLL,9,1.35415215376285,1.3820698496953792,-0.027917695932529154,4,0.49609375,0.00390625,0.7215909090909091
labram_loso,labram_loso_randinit,NLL,9,1.3793942132773251,1.3797882916245976,-0.00039407834727237895,3,0.49609375,0.00390625,0.7215909090909091
labram_frozen_p4,labram_frozen_randinit_p4,NLL,9,1.3665384105415526,1.3753175842700631,-0.00877917372851019,5,0.734375,0.00390625,0.9038461538461539
labram_frozen_p2,labram_frozen_randinit_p2,NLL,9,1.3521064328515076,1.376529540760081,-0.024423107908573567,3,0.91015625,0.00390625,0.939516129032258
cbramod_loso,cbramod_loso_randinit,accuracy,9,0.3865740740740741,0.27546296296296297,0.11111111111111109,9,0.00390625,0.00390625,0.08333333333333333
cbramod_finetune_sel,cbramod_finetune_randinit_sel,accuracy,9,0.47955246913580246,0.34066358024691357,0.1388888888888889,8,0.0078125,0.00390625,0.08333333333333333
cbramod_frozen_p2,cbramod_frozen_randinit_p2,accuracy,9,0.3927469135802469,0.3101851851851852,0.08256172839506173,7,0.01953125,0.00390625,0.10416666666666666
cbramod_frozen_p4,cbramod_frozen_randinit_p4,accuracy,9,0.34336419753086417,0.29320987654320985,0.05015432098765433,6,0.09765625,0.00390625,0.29464285714285715
labram_loso,labram_loso_randinit,accuracy,9,0.2750771604938272,0.28935185185185186,-0.01427469135802469,2,0.203125,0.00390625,0.43333333333333335
labram_frozen_p2,labram_frozen_randinit_p2,accuracy,9,0.33217592592592593,0.31018518518518523,0.021990740740740755,5,0.65234375,0.00390625,0.8697916666666666
labram_frozen_p4,labram_frozen_randinit_p4,accuracy,9,0.3167438271604938,0.30594135802469136,0.010802469135802469,3,0.8203125,0.00390625,0.939516129032258
labram_finetune_sel,labram_finetune_randinit_sel,accuracy,9,0.310570987654321,0.29128086419753085,0.019290123456790136,4,1.0,0.00390625,1.0
