pretrained,control,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
cbramod_finetune_sel,cbramod_finetune_randinit_sel,Brier,9,0.26958704251537835,0.38113665099300714,-0.11154960847762882,8,0.0078125,0.00390625,0.07291666666666667
cbramod_loso,cbramod_loso_randinit,Brier,9,0.4704652723149526,0.4308447374195422,0.03962053489541043,3,0.203125,0.00390625,0.6319444444444444
labram_frozen_p4,labram_frozen_randinit_p4,Brier,9,0.4818440678216109,0.5010625824177354,-0.019218514596124583,5,0.25,0.00390625,0.6363636363636364
cbramod_frozen_p2,cbramod_frozen_randinit_p2,Brier,9,0.44761170312628373,0.44917812644085786,-0.001566423314574128,2,0.49609375,0.00390625,0.7306250000000001
labram_frozen_p2,labram_frozen_randinit_p2,Brier,9,0.492960444083143,0.5005603229412392,-0.007599878858096136,6,0.49609375,0.00390625,0.7306250000000001
cbramod_frozen_p4,cbramod_frozen_randinit_p4,Brier,9,0.4457190594509923,0.4594243328851516,-0.01370527343415938,5,0.65234375,0.00390625,0.7306250000000001
labram_loso,labram_loso_randinit,Brier,9,0.5018221839025769,0.49939388004708124,0.0024283038554956827,6,0.65234375,0.00390625,0.7306250000000001
labram_loso,labram_loso_randinit,ECE,9,0.10358399392871674,0.08226265828804386,0.0213213356406729,1,0.0390625,0.00390625,0.2734375
labram_frozen_p4,labram_frozen_randinit_p4,ECE,9,0.10132153911133758,0.08161161351876525,0.019709925592572328,2,0.09765625,0.00390625,0.546875
cbramod_frozen_p4,cbramod_frozen_randinit_p4,ECE,9,0.10649387625933501,0.09214170402542685,0.014352172233908155,2,0.203125,0.00390625,0.6319444444444444
cbramod_finetune_sel,cbramod_finetune_randinit_sel,ECE,9,0.07641144302260432,0.09375069193269243,-0.01733924891008813,5,0.42578125,0.00390625,0.7306250000000001
cbramod_frozen_p2,cbramod_frozen_randinit_p2,ECE,9,0.09975804312426574,0.10261806038574504,-0.0028600172614793138,6,0.5703125,0.00390625,0.7306250000000001
cbramod_loso,cbramod_loso_randinit,ECE,9,0.10889294635008635,0.12044669790072698,-0.011553751550640635,5,0.734375,0.00390625,0.7908653846153846
labram_frozen_p2,labram_frozen_randinit_p2,ECE,9,0.09223368120480993,0.08888975651582709,0.003343924688982832,5,1.0,0.00390625,1.0
cbramod_finetune_sel,cbramod_finetune_randinit_sel,NLL,9,0.42287225148596114,0.5575263836455855,-0.13465413215962435,9,0.00390625,0.00390625,0.07291666666666667
cbramod_loso,cbramod_loso_randinit,NLL,9,0.6632025155968749,0.6198142490788158,0.04338826651805912,3,0.203125,0.00390625,0.6319444444444444
labram_frozen_p4,labram_frozen_randinit_p4,NLL,9,0.6742659513241914,0.6946161313470622,-0.020350180022870826,5,0.25,0.00390625,0.6363636363636364
labram_frozen_p2,labram_frozen_randinit_p2,NLL,9,0.6860920069577037,0.6940521426266617,-0.00796013566895806,6,0.49609375,0.00390625,0.7306250000000001
cbramod_frozen_p4,cbramod_frozen_randinit_p4,NLL,9,0.635740229728982,0.651122524705794,-0.015382294976812046,5,0.65234375,0.00390625,0.7306250000000001
labram_loso,labram_loso_randinit,NLL,9,0.6954901673956262,0.6925398977905063,0.002950269605119892,6,0.65234375,0.00390625,0.7306250000000001
cbramod_frozen_p2,cbramod_frozen_randinit_p2,NLL,9,0.6349787701012485,0.6406337356726004,-0.005654965571351904,4,1.0,0.00390625,1.0
cbramod_finetune_sel,cbramod_finetune_randinit_sel,accuracy,9,0.8084821428571429,0.7014384920634922,0.1070436507936508,8,0.0078125,0.00390625,0.07291666666666667
labram_loso,labram_loso_randinit,accuracy,9,0.5358630952380952,0.5111607142857143,0.02470238095238095,7,0.203125,0.00390625,0.6319444444444444
cbramod_loso,cbramod_loso_randinit,accuracy,9,0.6020833333333333,0.654265873015873,-0.052182539682539705,3,0.30078125,0.00390625,0.7018229166666667
labram_frozen_p2,labram_frozen_randinit_p2,accuracy,9,0.5453373015873015,0.5234126984126983,0.021924603174603183,5,0.359375,0.00390625,0.7306250000000001
labram_frozen_p4,labram_frozen_randinit_p4,accuracy,9,0.5476190476190477,0.5216269841269842,0.02599206349206348,4,0.3828125,0.0078125,0.7306250000000001
cbramod_frozen_p4,cbramod_frozen_randinit_p4,accuracy,9,0.6263392857142858,0.5995039682539683,0.02683531746031746,5,0.49609375,0.00390625,0.7306250000000001
cbramod_frozen_p2,cbramod_frozen_randinit_p2,accuracy,9,0.6180059523809524,0.6343749999999999,-0.016369047619047616,3,0.5703125,0.00390625,0.7306250000000001
