experiment_key,role,recipe,n,acc,Brier,ECE,NLL
atcnet_broadband_tuned,supervised,single-window,9,0.8457837301587302,0.22804953026123986,0.07453452002204732,0.41948355989722574
shallow_convnet_broadband,supervised,single-window,9,0.8196924603174603,0.2503182060524931,0.07341050971098356,0.39057138403309355
shallow_convnet_broadband_tuned,supervised,single-window,9,0.8184523809523809,0.25255367835577136,0.06918488944770783,0.3945662934699822
cbramod_finetune_sel,foundation model,,9,0.8084821428571429,0.26958704251537835,0.07641144302260432,0.42287225148596114
eegconformer_broadband_tuned,supervised,single-window,9,0.7981150793650794,0.2879461797698704,0.09429805661836164,0.4998850398720823
eegconformer_narrowband_tuned,supervised,single-window,9,0.7975694444444444,0.27250922129061456,0.07441345211817953,0.4913880203279393
atcnet_narrowband_tuned,supervised,single-window,9,0.7970238095238096,0.2689809602546444,0.07546427749103785,0.4396986983774466
baseline,supervised,cropped+aggregated,9,0.7866071428571428,0.27735861568361453,0.06693007664252407,0.42522231581322506
seed_ensemble,supervised,cropped+aggregated,9,0.7865575396825396,0.278575324314696,0.062077459469292245,0.427631847628555
shallow_convnet_narrowband_tuned,supervised,single-window,9,0.783531746031746,0.2835705096305494,0.07327586887995392,0.4612005376139192
cbramod_finetune_randinit_sel,random-init control,,9,0.7014384920634921,0.38113665099300714,0.09375069193269243,0.5575263836455855
cbramod_loso_randinit,random-init control,,9,0.654265873015873,0.4308447374195422,0.12044669790072698,0.6198142490788157
cbramod_frozen_randinit_p2,random-init control,,9,0.6343749999999999,0.44917812644085786,0.10261806038574504,0.6406337356726004
cbramod_frozen_p4,foundation model,,9,0.6263392857142857,0.4457190594509923,0.10649387625933503,0.635740229728982
cbramod_frozen_p2,foundation model,,9,0.6180059523809525,0.44761170312628373,0.09975804312426573,0.6349787701012485
cbramod_loso,foundation model,,9,0.6020833333333333,0.4704652723149526,0.10889294635008637,0.6632025155968749
cbramod_frozen_randinit_p4,random-init control,,9,0.5995039682539682,0.4594243328851516,0.09214170402542687,0.651122524705794
labram_frozen_p4,foundation model,,9,0.5476190476190477,0.4818440678216109,0.1013215391113376,0.6742659513241914
labram_frozen_p2,foundation model,,9,0.5453373015873015,0.49296044408314305,0.09223368120480993,0.6860920069577037
labram_loso,foundation model,,9,0.5358630952380952,0.5018221839025769,0.10358399392871674,0.6954901673956262
labram_frozen_randinit_p2,random-init control,,9,0.5234126984126983,0.5005603229412392,0.08888975651582709,0.6940521426266617
labram_frozen_randinit_p4,random-init control,,9,0.5216269841269842,0.5010625824177354,0.08161161351876527,0.6946161313470622
labram_loso_randinit,random-init control,,9,0.5111607142857143,0.49939388004708124,0.08226265828804384,0.6925398977905063
