pretrained,control,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
cbramod_finetune_sel,cbramod_finetune_randinit_sel,Brier,54,0.39918127440943063,0.497077916230716,-0.09789664182128537,50,9.001956553892784e-10,1.1102230246251565e-16,1.8003913107785567e-08
cbramod_loso,cbramod_loso_randinit,Brier,54,0.3670656015772946,0.421242859036015,-0.05417725745872034,46,7.570306321237117e-08,1.1102230246251565e-16,4.0473938666808936e-07
cbramod_frozen,cbramod_frozen_randinit,Brier,54,0.4608051114618685,0.4855106844795055,-0.02470557301763684,37,0.0008485279875278333,1.1102230246251565e-16,0.0018856177500618518
labram_finetune_sel,labram_finetune_randinit_sel,Brier,54,0.5109974422098912,0.5148307854447809,-0.0038333432348897985,22,0.05323694429606961,1.1102230246251565e-16,0.08190299122472247
labram_frozen,labram_frozen_randinit,Brier,54,0.5097054459977568,0.5106818333472993,-0.000976387349542526,33,0.36824384388670106,1.1102230246251565e-16,0.4603048048583763
cbramod_finetune_sel,cbramod_finetune_randinit_sel,ECE,54,0.11536584917031455,0.15949747130240471,-0.04413162213209013,45,3.075272313845937e-07,1.1102230246251565e-16,8.786492325274106e-07
cbramod_loso,cbramod_loso_randinit,ECE,54,0.10548368461138574,0.11935107222204853,-0.013867387610662796,36,0.0031880432276427608,1.1102230246251565e-16,0.0063760864552855215
labram_finetune_sel,labram_finetune_randinit_sel,ECE,54,0.13971037470955708,0.1292027248233215,0.010507649886235579,21,0.08428469742804642,1.1102230246251565e-16,0.1204067106114949
cbramod_frozen,cbramod_frozen_randinit,ECE,54,0.11917124584166323,0.12296231310462345,-0.0037910672629602026,33,0.41091993595967735,1.1102230246251565e-16,0.483435218776091
labram_frozen,labram_frozen_randinit,ECE,54,0.12604477694916694,0.12806303776581066,-0.002018260816643733,32,0.4774914701895919,1.1102230246251565e-16,0.5305460779884354
cbramod_finetune_sel,cbramod_finetune_randinit_sel,NLL,54,0.7265392523229961,0.7815922831694094,-0.05505303084641345,46,2.560574629384623e-07,1.1102230246251565e-16,8.786492325274106e-07
cbramod_loso,cbramod_loso_randinit,NLL,54,0.5458789111546317,0.6070507485190823,-0.06117183736445058,43,3.075272313845937e-07,1.1102230246251565e-16,8.786492325274106e-07
cbramod_frozen,cbramod_frozen_randinit,NLL,54,0.6646261027265356,0.6845015250223737,-0.01987542229583815,35,0.010420928417144405,1.1102230246251565e-16,0.01894714257662619
labram_finetune_sel,labram_finetune_randinit_sel,NLL,54,0.7195486485329561,0.7193463897705848,0.00020225876237122214,22,0.042590228380407574,1.1102230246251565e-16,0.07098371396734596
labram_frozen,labram_frozen_randinit,NLL,54,0.7070116227767187,0.7074871670533606,-0.0004755442766418232,32,0.35019627325089664,1.1102230246251565e-16,0.4603048048583763
cbramod_finetune_sel,cbramod_finetune_randinit_sel,accuracy,54,0.6792592592592592,0.5932407407407408,0.08601851851851852,46,1.1242248339580229e-08,4.440892098500626e-16,1.1242248339580229e-07
cbramod_loso,cbramod_loso_randinit,accuracy,54,0.7224074074074074,0.6538888888888891,0.0685185185185185,45,8.094787733361787e-08,4.440892098500626e-16,4.0473938666808936e-07
cbramod_frozen,cbramod_frozen_randinit,accuracy,54,0.6037962962962964,0.5599074074074073,0.04388888888888888,39,0.00038772193924659803,4.440892098500626e-16,0.000969304848116495
labram_finetune_sel,labram_finetune_randinit_sel,accuracy,54,0.5315740740740741,0.5147222222222221,0.01685185185185186,27,0.5799889884137784,2.220446049250313e-16,0.6105147246460826
labram_frozen,labram_frozen_randinit,accuracy,54,0.5108333333333333,0.5092592592592593,0.0015740740740740704,26,0.9823384056288123,2.220446049250313e-16,0.9823384056288123
