dataset,arch,variant,baseline_narrowband,baseline_broadband,foundation_model,n,acc_narrowband,acc_broadband,acc_fm,total_gap,band_gap,model_gap,pipeline_effect,band_share,model_share,band_p_raw,model_p_raw,band_wins,model_wins,p_floor,shares_meaningful,band_p_bh,model_p_bh
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,labram_loso,9,0.5787738496071829,0.65625,0.2750771604938272,0.3036966891133558,-0.07747615039281709,0.3811728395061728,helps,-0.2551102898718098,1.2551102898718096,0.0390625,0.00390625,1/9,9/9,0.00390625,True,0.0732421875,0.01171875
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,labram_finetune_sel,9,0.5787738496071829,0.65625,0.310570987654321,0.26820286195286197,-0.07747615039281709,0.34567901234567905,helps,-0.2888714528573298,1.2888714528573297,0.0390625,0.00390625,1/9,9/9,0.00390625,True,0.0732421875,0.01171875
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,labram_frozen_p4,9,0.5787738496071829,0.65625,0.3167438271604938,0.2620300224466891,-0.07747615039281709,0.3395061728395062,helps,-0.2956766162494982,1.2956766162494981,0.0390625,0.00390625,1/9,9/9,0.00390625,True,0.0732421875,0.01171875
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,labram_frozen_p2,9,0.5787738496071829,0.65625,0.33217592592592593,0.24659792368125702,-0.07747615039281709,0.3240740740740741,helps,-0.3141800597354574,1.3141800597354574,0.0390625,0.00390625,1/9,9/9,0.0078125,True,0.0732421875,0.01171875
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_frozen_p4,9,0.5787738496071829,0.65625,0.34336419753086417,0.23540965207631873,-0.07747615039281709,0.3128858024691358,helps,-0.32911203814064377,1.3291120381406436,0.0390625,0.00390625,1/9,9/9,0.00390625,True,0.0732421875,0.01171875
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_loso,9,0.5787738496071829,0.65625,0.3865740740740741,0.19219977553310885,-0.07747615039281709,0.2696759259259259,helps,-0.4031021897810221,1.4031021897810216,0.0390625,0.00390625,1/9,9/9,0.00390625,True,0.0732421875,0.01171875
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_frozen_p2,9,0.5787738496071829,0.65625,0.3927469135802469,0.18602693602693604,-0.07747615039281709,0.2635030864197531,helps,-0.41647812971342396,1.416478129713424,0.0390625,0.00390625,1/9,9/9,0.00390625,True,0.0732421875,0.01171875
bci4_2a,atcnet,base,atcnet_narrowband_tuned,atcnet_broadband_tuned,cbramod_finetune_sel,9,0.5787738496071829,0.65625,0.47955246913580246,0.09922138047138046,-0.07747615039281709,0.1766975308641975,helps,-0.7808412866737368,1.7808412866737362,0.0390625,0.00390625,1/9,9/9,0.00390625,True,0.0732421875,0.01171875
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,labram_loso,9,0.6181607744107745,0.5304783950617283,0.2750771604938272,0.34308361391694725,0.087682379349046,0.2554012345679012,costs,0.25557145777959517,0.7444285422204048,0.12890625,0.00390625,8/9,9/9,0.00390625,True,0.17578125,0.01171875
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,labram_finetune_sel,9,0.6181607744107745,0.5304783950617283,0.310570987654321,0.3075897867564534,0.087682379349046,0.2199074074074074,costs,0.28506271379703535,0.7149372862029648,0.12890625,0.00390625,8/9,9/9,0.00390625,True,0.17578125,0.01171875
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,labram_frozen_p4,9,0.6181607744107745,0.5304783950617283,0.3167438271604938,0.30141694725028056,0.087682379349046,0.21373456790123455,costs,0.2909006283453572,0.7090993716546428,0.12890625,0.0078125,8/9,8/9,0.00390625,True,0.17578125,0.01953125
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,labram_frozen_p2,9,0.6181607744107745,0.5304783950617283,0.33217592592592593,0.2859848484848484,0.087682379349046,0.19830246913580246,costs,0.30659798871719407,0.6934020112828062,0.12890625,0.0078125,8/9,8/9,0.00390625,True,0.17578125,0.01953125
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_frozen_p4,9,0.6181607744107745,0.5304783950617283,0.34336419753086417,0.27479657687991016,0.087682379349046,0.1871141975308642,costs,0.3190810465858328,0.6809189534141673,0.12890625,0.01171875,8/9,8/9,0.00390625,True,0.17578125,0.028505067567567568
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_loso,9,0.6181607744107745,0.5304783950617283,0.3865740740740741,0.23158670033670037,0.087682379349046,0.14390432098765432,costs,0.3786157807057397,0.6213842192942601,0.12890625,0.01953125,8/9,8/9,0.00390625,True,0.17578125,0.0439453125
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_frozen_p2,9,0.6181607744107745,0.5304783950617283,0.3927469135802469,0.2254138608305275,0.087682379349046,0.13773148148148148,costs,0.3889839738602769,0.6110160261397231,0.12890625,0.01953125,8/9,7/9,0.00390625,True,0.17578125,0.0439453125
bci4_2a,eegconformer,base,eegconformer_narrowband_tuned,eegconformer_broadband_tuned,cbramod_finetune_sel,9,0.6181607744107745,0.5304783950617283,0.47955246913580246,0.13860830527497192,0.087682379349046,0.050925925925925916,costs,0.6325910931174089,0.3674089068825911,0.12890625,0.12890625,8/9,7/9,0.00390625,True,0.17578125,0.17578125
