dataset,experiment_key,sd_accuracy,sd_Brier,n_seeds
bci4_2a,shallow_convnet_broadband_tuned,0.02974988114629086,0.028163974173376134,3
bci4_2a,cbramod_finetune_randinit_sel,0.02929444670246881,0.01471801136185125,3
bci4_2a,cbramod_finetune_sel,0.025332689499916114,0.01685434514219124,3
bci4_2a,cbramod_frozen_p2,,,1
bci4_2a,cbramod_frozen_p4,,,1
bci4_2a,cbramod_frozen_randinit_p2,,,1
bci4_2a,cbramod_frozen_randinit_p4,,,1
bci4_2a,cbramod_loso,,,1
bci4_2a,cbramod_loso_randinit,,,1
bci4_2a,labram_finetune_randinit_sel,,,1
bci4_2a,labram_finetune_sel,,,1
bci4_2a,labram_frozen_p2,,,1
bci4_2a,labram_frozen_p4,,,1
bci4_2a,labram_frozen_randinit_p2,,,1
bci4_2a,labram_frozen_randinit_p4,,,1
bci4_2a,labram_loso,,,1
bci4_2a,labram_loso_randinit,,,1
bci4_2a,shallow_convnet_broadband,,,1
bnci2014_004,cbramod_finetune_sel,0.039314239768372214,0.04575394387652791,3
bnci2014_004,cbramod_finetune_randinit_sel,0.031322982748271826,0.023019160593727682,3
bnci2014_004,cbramod_frozen_p2,,,1
bnci2014_004,cbramod_frozen_p4,,,1
bnci2014_004,cbramod_frozen_randinit_p2,,,1
bnci2014_004,cbramod_frozen_randinit_p4,,,1
bnci2014_004,cbramod_loso,,,1
bnci2014_004,cbramod_loso_randinit,,,1
bnci2014_004,labram_frozen_p2,,,1
bnci2014_004,labram_frozen_p4,,,1
bnci2014_004,labram_frozen_randinit_p2,,,1
bnci2014_004,labram_frozen_randinit_p4,,,1
bnci2014_004,labram_loso,,,1
bnci2014_004,labram_loso_randinit,,,1
