arm,n,draws,detection_rate,median_p,attainable_p_floor,floor_permits_alpha
CBraMod frozen probe,3,4000,0.0,0.5,0.25,False
CBraMod frozen probe,4,4000,0.0,0.375,0.125,False
CBraMod frozen probe,5,4000,0.0,0.3125,0.0625,False
CBraMod frozen probe,6,4000,0.12875,0.3125,0.03125,True
CBraMod frozen probe,7,4000,0.19875,0.21875,0.015625,True
CBraMod frozen probe,8,4000,0.20125,0.1953125,0.0078125,True
CBraMod frozen probe,9,4000,0.2315,0.1484375,0.00390625,True
CBraMod frozen probe,10,4000,0.2995,0.130859375,0.001953125,True
CBraMod frozen probe,11,4000,0.32275,0.10546875,0.0009765625,True
CBraMod frozen probe,12,4000,0.352,0.09228515625,0.00048828125,True
CBraMod frozen probe,13,4000,0.384,0.080322265625,0.000244140625,True
CBraMod frozen probe,14,4000,0.41675,0.0784912109375,0.0001220703125,True
CBraMod frozen probe,15,4000,0.45675,0.063720703125,6.103515625e-05,True
CBraMod frozen probe,16,4000,0.49325,0.0506591796875,3.0517578125e-05,True
CBraMod frozen probe,17,4000,0.5275,0.041259765625,1.52587890625e-05,True
CBraMod frozen probe,18,4000,0.55725,0.03849029541015625,7.62939453125e-06,True
CBraMod frozen probe,19,4000,0.5995,0.03423309326171875,3.814697265625e-06,True
CBraMod frozen probe,20,4000,0.629,0.0289306640625,1.9073486328125e-06,True
CBraMod frozen probe,21,4000,0.66825,0.02385425567626953,9.5367431640625e-07,True
CBraMod frozen probe,22,4000,0.67125,0.02157115936279297,4.76837158203125e-07,True
CBraMod frozen probe,23,4000,0.72275,0.018956661224365234,2.384185791015625e-07,True
CBraMod frozen probe,24,4000,0.741,0.016406655311584473,1.1920928955078125e-07,True
CBraMod frozen probe,25,4000,0.7805,0.013779282569885254,5.960464477539063e-08,True
CBraMod frozen probe,26,4000,0.796,0.012466490268707275,2.9802322387695312e-08,True
CBraMod frozen probe,27,4000,0.83,0.010778054594993591,1.4901161193847656e-08,True
CBraMod frozen probe,28,4000,0.85675,0.009608790278434753,7.450580596923828e-09,True
CBraMod frozen probe,29,4000,0.87725,0.007629185914993286,3.725290298461914e-09,True
CBraMod frozen probe,30,4000,0.8815,0.007456466555595398,1.862645149230957e-09,True
CBraMod frozen probe,31,4000,0.91075,0.0061949919909238815,9.313225746154785e-10,True
CBraMod frozen probe,32,4000,0.93125,0.005441642366349697,4.656612873077393e-10,True
CBraMod frozen probe,33,4000,0.94375,0.004852146143093705,2.3283064365386963e-10,True
CBraMod frozen probe,34,4000,0.959,0.0041310470551252365,1.1641532182693481e-10,True
CBraMod frozen probe,35,4000,0.96975,0.0035422760993242264,5.820766091346741e-11,True
CBraMod frozen probe,36,4000,0.975,0.0031909775570966303,2.9103830456733704e-11,True
CBraMod frozen probe,37,4000,0.987,0.002783855190500617,1.4551915228366852e-11,True
CBraMod frozen probe,38,4000,0.9935,0.002339415514143184,7.275957614183426e-12,True
CBraMod frozen probe,39,4000,0.995,0.0021441297431010753,3.637978807091713e-12,True
CBraMod frozen probe,40,4000,0.99825,0.0018188090652984101,1.8189894035458565e-12,True
CBraMod frozen probe,41,4000,0.999,0.0015496526975766756,9.094947017729282e-13,True
CBraMod frozen probe,42,4000,1.0,0.0013674832061951747,4.547473508864641e-13,True
CBraMod frozen probe,43,4000,1.0,0.0012550095752885682,2.2737367544323206e-13,True
CBraMod frozen probe,44,4000,1.0,0.0010291344547113113,1.1368683772161603e-13,True
CBraMod frozen probe,45,4000,1.0,0.0008791149598437187,5.684341886080802e-14,True
CBraMod frozen probe,46,4000,1.0,0.0008575647601674063,2.842170943040401e-14,True
CBraMod frozen probe,47,4000,1.0,0.0007173913954261479,1.4210854715202004e-14,True
