pretrained,control,metric,n_subjects,pretrained_mean,random_init_mean,mean_delta,pretrained_wins,pretrained_losses,p_raw,attainable_p_floor,n_tests,p_holm,p_bh
cbramod_finetune_sel,cbramod_finetune_randinit_sel,Brier,9,0.649258199208129,0.7395714756906053,-0.09031327648247653,8,1,0.0078125,0.00390625,24,0.1875,0.09375
cbramod_frozen_p2,cbramod_frozen_randinit_p2,Brier,9,0.7079814206092228,0.7405666333389617,-0.03258521272973897,7,2,0.01953125,0.00390625,24,0.41015625,0.09375
cbramod_frozen_p4,cbramod_frozen_randinit_p4,Brier,9,0.7293433980050197,0.7488086687940494,-0.019465270789029723,6,3,0.12890625,0.00390625,24,1.0,0.309375
labram_finetune_sel,labram_finetune_randinit_sel,Brier,9,0.7323514279289522,0.7478840316957215,-0.015532603766769324,4,5,0.49609375,0.00390625,24,1.0,0.7937500000000001
labram_frozen_p4,labram_frozen_randinit_p4,Brier,9,0.739987032086383,0.7444919988298293,-0.0045049667434463835,5,4,0.734375,0.00390625,24,1.0,0.9276315789473684
labram_frozen_p2,labram_frozen_randinit_p2,Brier,9,0.7322879363977352,0.7447286240064028,-0.012440687608667702,3,6,0.91015625,0.00390625,24,1.0,0.9497282608695652
cbramod_finetune_sel,cbramod_finetune_randinit_sel,ECE,9,0.12361368523311393,0.0993461341816682,0.024267551051445752,3,6,0.12890625,0.00390625,24,1.0,0.309375
cbramod_frozen_p4,cbramod_frozen_randinit_p4,ECE,9,0.10785974046208777,0.08433862004247011,0.023521120419617677,3,6,0.12890625,0.00390625,24,1.0,0.309375
cbramod_frozen_p2,cbramod_frozen_randinit_p2,ECE,9,0.10304608934702114,0.09017418914812346,0.012871900198897689,3,6,0.30078125,0.00390625,24,1.0,0.6015625
labram_frozen_p4,labram_frozen_randinit_p4,ECE,9,0.09335862285106107,0.08232295460358217,0.011035668247478902,4,5,0.359375,0.00390625,24,1.0,0.6634615384615385
labram_frozen_p2,labram_frozen_randinit_p2,ECE,9,0.08738035015600706,0.09296972630359503,-0.005589376147587954,5,4,0.65234375,0.00390625,24,1.0,0.9209558823529412
labram_finetune_sel,labram_finetune_randinit_sel,ECE,9,0.09757007898405178,0.09269672507924603,0.004873353904805733,6,3,0.91015625,0.00390625,24,1.0,0.9497282608695652
cbramod_finetune_sel,cbramod_finetune_randinit_sel,NLL,9,1.2115988478753126,1.372594173657247,-0.16099532578193437,8,1,0.01171875,0.00390625,24,0.2578125,0.09375
cbramod_frozen_p2,cbramod_frozen_randinit_p2,NLL,9,1.3066475888047877,1.3700582914497634,-0.06341070264497572,7,2,0.02734375,0.00390625,24,0.51953125,0.109375
cbramod_frozen_p4,cbramod_frozen_randinit_p4,NLL,9,1.357019104296134,1.3863995313223423,-0.029380427026208505,6,3,0.30078125,0.00390625,24,1.0,0.6015625
labram_finetune_sel,labram_finetune_randinit_sel,NLL,9,1.35415215376285,1.3820698496953792,-0.027917695932529154,4,5,0.49609375,0.00390625,24,1.0,0.7937500000000001
labram_frozen_p4,labram_frozen_randinit_p4,NLL,9,1.3665384105415526,1.3753175842700631,-0.00877917372851019,5,4,0.734375,0.00390625,24,1.0,0.9276315789473684
labram_frozen_p2,labram_frozen_randinit_p2,NLL,9,1.3521064328515076,1.376529540760081,-0.024423107908573567,3,6,0.91015625,0.00390625,24,1.0,0.9497282608695652
cbramod_finetune_sel,cbramod_finetune_randinit_sel,accuracy,9,0.47955246913580246,0.34066358024691357,0.1388888888888889,8,1,0.0078125,0.00390625,24,0.1875,0.09375
cbramod_frozen_p2,cbramod_frozen_randinit_p2,accuracy,9,0.3927469135802469,0.3101851851851852,0.08256172839506173,7,2,0.01953125,0.00390625,24,0.41015625,0.09375
cbramod_frozen_p4,cbramod_frozen_randinit_p4,accuracy,9,0.34336419753086417,0.29320987654320985,0.05015432098765433,6,3,0.09765625,0.00390625,24,1.0,0.309375
labram_frozen_p2,labram_frozen_randinit_p2,accuracy,9,0.33217592592592593,0.31018518518518523,0.021990740740740755,5,4,0.65234375,0.00390625,24,1.0,0.9209558823529412
labram_frozen_p4,labram_frozen_randinit_p4,accuracy,9,0.3167438271604938,0.30594135802469136,0.010802469135802469,3,6,0.8203125,0.00390625,24,1.0,0.9497282608695652
labram_finetune_sel,labram_finetune_randinit_sel,accuracy,9,0.310570987654321,0.29128086419753085,0.019290123456790136,4,5,1.0,0.00390625,24,1.0,1.0
