method,n_subjects,heldout_accuracy,heldout_Brier,heldout_ECE,heldout_NLL,chance_accuracy,chance_Brier,is_random_init_control,is_foundation_model
seed_ensemble,9,0.7145412457912459,0.38519287999438295,0.08285633887162763,0.7221632661337005,0.25,0.75,False,False
baseline,9,0.6961630190796857,0.40472125644578316,0.08079971224877253,0.7402718611343102,0.25,0.75,False,False
shallow_convnet_broadband_tuned,9,0.6084104938271605,0.5060592205940803,0.10077250045619586,0.9515014946622516,0.25,0.75,False,False
shallow_convnet_broadband,9,0.5335648148148148,0.5604433913699032,0.09413031393384992,1.0234945380826799,0.25,0.75,False,False
cbramod_finetune_sel,9,0.47955246913580246,0.649258199208129,0.12361368523311393,1.2115988478753126,0.25,0.75,False,True
cbramod_frozen_p2,9,0.3927469135802469,0.7079814206092228,0.10304608934702114,1.3066475888047877,0.25,0.75,False,True
cbramod_frozen_p4,9,0.34336419753086417,0.7293433980050197,0.10785974046208777,1.357019104296134,0.25,0.75,False,True
cbramod_finetune_randinit_sel,9,0.34066358024691357,0.7395714756906053,0.0993461341816682,1.372594173657247,0.25,0.75,True,False
labram_frozen_p2,9,0.33217592592592593,0.7322879363977352,0.08738035015600706,1.3521064328515076,0.25,0.75,False,True
labram_frozen_p4,9,0.3167438271604938,0.739987032086383,0.09335862285106107,1.3665384105415526,0.25,0.75,False,True
labram_finetune_sel,9,0.310570987654321,0.7323514279289522,0.09757007898405178,1.35415215376285,0.25,0.75,False,True
labram_frozen_randinit_p2,9,0.31018518518518523,0.7447286240064028,0.09296972630359503,1.376529540760081,0.25,0.75,True,False
cbramod_frozen_randinit_p2,9,0.3101851851851852,0.7405666333389617,0.09017418914812346,1.3700582914497634,0.25,0.75,True,False
labram_frozen_randinit_p4,9,0.30594135802469136,0.7444919988298293,0.08232295460358217,1.3753175842700631,0.25,0.75,True,False
cbramod_frozen_randinit_p4,9,0.29320987654320985,0.7488086687940494,0.08433862004247011,1.3863995313223423,0.25,0.75,True,False
labram_finetune_randinit_sel,9,0.29128086419753085,0.7478840316957215,0.09269672507924603,1.3820698496953792,0.25,0.75,True,False
labram_finetune_p4,9,0.2901234567901234,0.7455886216873561,0.07972204845659488,1.3773911270482135,0.25,0.75,False,True
labram_finetune_p2,9,0.2874228395061728,0.7458584804272087,0.08450651626691014,1.3777392835822964,0.25,0.75,False,True
