pretrained,control,metric,n_subjects,pretrained_mean,random_init_mean,mean_delta,pretrained_wins,pretrained_losses,p_raw,attainable_p_floor,n_tests,p_holm,p_bh
labram_frozen_p4,labram_frozen_randinit_p4,Brier,9,0.4818440678216109,0.5010625824177354,-0.019218514596124583,5,4,0.25,0.00390625,16,1.0,0.7455357142857142
cbramod_frozen_p2,cbramod_frozen_randinit_p2,Brier,9,0.44761170312628373,0.44917812644085786,-0.001566423314574128,2,7,0.49609375,0.00390625,16,1.0,0.7455357142857142
labram_frozen_p2,labram_frozen_randinit_p2,Brier,9,0.492960444083143,0.5005603229412392,-0.007599878858096136,6,3,0.49609375,0.00390625,16,1.0,0.7455357142857142
cbramod_frozen_p4,cbramod_frozen_randinit_p4,Brier,9,0.4457190594509923,0.4594243328851516,-0.01370527343415938,5,4,0.65234375,0.00390625,16,1.0,0.7455357142857142
labram_frozen_p4,labram_frozen_randinit_p4,ECE,9,0.10132153911133758,0.08161161351876525,0.019709925592572328,2,7,0.09765625,0.00390625,16,1.0,0.7455357142857142
cbramod_frozen_p4,cbramod_frozen_randinit_p4,ECE,9,0.10649387625933501,0.09214170402542685,0.014352172233908155,2,7,0.203125,0.00390625,16,1.0,0.7455357142857142
cbramod_frozen_p2,cbramod_frozen_randinit_p2,ECE,9,0.09975804312426574,0.10261806038574504,-0.0028600172614793138,6,3,0.5703125,0.00390625,16,1.0,0.7455357142857142
labram_frozen_p2,labram_frozen_randinit_p2,ECE,9,0.09223368120480993,0.08888975651582709,0.003343924688982832,5,4,1.0,0.00390625,16,1.0,1.0
labram_frozen_p4,labram_frozen_randinit_p4,NLL,9,0.6742659513241914,0.6946161313470622,-0.020350180022870826,5,4,0.25,0.00390625,16,1.0,0.7455357142857142
labram_frozen_p2,labram_frozen_randinit_p2,NLL,9,0.6860920069577037,0.6940521426266617,-0.00796013566895806,6,3,0.49609375,0.00390625,16,1.0,0.7455357142857142
cbramod_frozen_p4,cbramod_frozen_randinit_p4,NLL,9,0.635740229728982,0.651122524705794,-0.015382294976812046,5,4,0.65234375,0.00390625,16,1.0,0.7455357142857142
cbramod_frozen_p2,cbramod_frozen_randinit_p2,NLL,9,0.6349787701012485,0.6406337356726004,-0.005654965571351904,4,5,1.0,0.00390625,16,1.0,1.0
labram_frozen_p2,labram_frozen_randinit_p2,accuracy,9,0.5453373015873015,0.5234126984126983,0.021924603174603183,5,4,0.359375,0.00390625,16,1.0,0.7455357142857142
labram_frozen_p4,labram_frozen_randinit_p4,accuracy,9,0.5476190476190477,0.5216269841269842,0.02599206349206348,4,4,0.3828125,0.0078125,16,1.0,0.7455357142857142
cbramod_frozen_p4,cbramod_frozen_randinit_p4,accuracy,9,0.6263392857142858,0.5995039682539683,0.02683531746031746,5,4,0.49609375,0.00390625,16,1.0,0.7455357142857142
cbramod_frozen_p2,cbramod_frozen_randinit_p2,accuracy,9,0.6180059523809524,0.6343749999999999,-0.016369047619047616,3,6,0.5703125,0.00390625,16,1.0,0.7455357142857142
