method,n_subjects,heldout_accuracy,heldout_Brier,heldout_ECE,heldout_NLL,chance_accuracy,chance_Brier,is_random_init_control,is_foundation_model
baseline,9,0.786607142857143,0.27735861568361453,0.06693007664252407,0.4252223158132251,0.5,0.5,False,False
seed_ensemble,9,0.7865575396825396,0.27857532431469606,0.062077459469292245,0.427631847628555,0.5,0.5,False,False
cbramod_frozen_randinit_p2,9,0.6343749999999999,0.44917812644085786,0.10261806038574504,0.6406337356726004,0.5,0.5,True,False
cbramod_frozen_p4,9,0.6263392857142858,0.4457190594509923,0.10649387625933501,0.635740229728982,0.5,0.5,False,True
cbramod_frozen_p2,9,0.6180059523809524,0.44761170312628373,0.09975804312426574,0.6349787701012485,0.5,0.5,False,True
cbramod_frozen_randinit_p4,9,0.5995039682539683,0.4594243328851516,0.09214170402542685,0.651122524705794,0.5,0.5,True,False
labram_frozen_p4,9,0.5476190476190477,0.4818440678216109,0.10132153911133758,0.6742659513241914,0.5,0.5,False,True
labram_frozen_p2,9,0.5453373015873015,0.492960444083143,0.09223368120480993,0.6860920069577037,0.5,0.5,False,True
labram_frozen_randinit_p2,9,0.5234126984126983,0.5005603229412392,0.08888975651582709,0.6940521426266617,0.5,0.5,True,False
labram_frozen_randinit_p4,9,0.5216269841269842,0.5010625824177354,0.08161161351876525,0.6946161313470622,0.5,0.5,True,False
