dataset,dataset_key,method,method_label,n_subjects,n_classes,reported_in_manuscript,heldout_Brier_mean,heldout_Brier_std,heldout_accuracy_mean,heldout_accuracy_std,heldout_ECE_mean,heldout_ECE_std,heldout_NLL_mean,heldout_NLL_std
BCI IIIa,bci_iiia,augmentation,Augmentation,3,4,True,0.35458936221293524,0.08751043615202551,0.7592592592592592,0.08102324249266431,0.1772081930356789,0.08817717823147468,0.8161525417204679,0.07460494452408165
BCI IIIa,bci_iiia,baseline,Baseline,3,4,True,0.38828700258994453,0.10281618934195204,0.7328042328042329,0.08205324031360223,0.17316324512127004,0.05556604424445651,0.708229443609354,0.20495270966732332
BCI IIIa,bci_iiia,seed_ensemble,Seed ensemble,3,4,True,0.3524044325548181,0.08820462674054526,0.7566137566137566,0.05986089152901989,0.19786701960564743,0.05513115121491975,0.6538624088921532,0.15632637714820993
BCI IIIa,bci_iiia,teacher_student_mixture,Teacher/student,3,4,True,0.35273092802778166,0.0846131883002976,0.7645502645502645,0.055112874751321844,0.18631235222502784,0.06886655387567661,0.634677952760362,0.1708940250841305
BCI IV-2a,bci4_2a,architecture,Architecture variant,9,4,False,0.39655161528129285,0.1684811120411244,0.7110690235690236,0.1484452728091213,0.10455886417711756,0.03176802532244232,0.7580754232588096,0.29579783824798084
BCI IV-2a,bci4_2a,augmentation,Augmentation,9,4,True,0.3860122493584146,0.16829833292960722,0.7153128507295173,0.14378051226639565,0.08389456507777598,0.034192359211922936,0.7218768101688323,0.3082845938602544
BCI IV-2a,bci4_2a,baseline,Baseline,9,4,True,0.40472125644578316,0.16146246540007367,0.6961630190796857,0.13932749391849442,0.08079971224877253,0.029152064823972472,0.7402718611343102,0.2997458392502508
BCI IV-2a,bci4_2a,brier_loss,Brier regularization,9,4,False,0.40255517666333,0.15991189782152537,0.7008978675645342,0.13584802372333024,0.08222476357859992,0.032414656456810124,0.7356505763153303,0.29685277017961376
BCI IV-2a,bci4_2a,calibration_checkpoint,Calibration checkpoint,9,4,False,0.40523758179068875,0.15812478542766864,0.6917438271604939,0.13750056289807328,0.08724062674954323,0.02989763787741873,0.7390771377146058,0.2926183861527701
BCI IV-2a,bci4_2a,calibration_grid,Post-hoc calibration grid,9,4,False,0.42443465527383095,0.16041098833913028,0.6815025252525253,0.13815520170883266,0.09290553197697256,0.03100314466534388,0.7900074567747233,0.33076934087178034
BCI IV-2a,bci4_2a,crop_aggregation,Crop aggregation,9,4,False,0.403357008414886,0.16069406125386856,0.698442760942761,0.13719425162925744,0.08338766517103398,0.02991230191075199,0.7388687685166448,0.2958451883634703
BCI IV-2a,bci4_2a,seed_ensemble,Seed ensemble,9,4,True,0.38519287999438295,0.1696969877042918,0.7145412457912459,0.14608932340076286,0.08285633887162763,0.036174868076978395,0.7221632661337005,0.3103574652879957
BCI IV-2a,bci4_2a,stronger_teacher,Stronger teacher,9,4,False,0.6403137772511207,0.14961418518566275,0.5026304713804713,0.18914592814969544,0.20767604899259046,0.08392184930915329,1.241275663305385,0.2817869415635001
BCI IV-2a,bci4_2a,swa_ema,SWA/EMA,9,4,False,0.40548102041587364,0.162697633707012,0.6944795173961842,0.14321615435402626,0.07984814374016687,0.026994265373462716,0.7406427202587779,0.3040242821140441
BCI IV-2a,bci4_2a,teacher_student_mixture,Teacher/student,9,4,True,0.39802519110399986,0.1599372282346106,0.7085086980920314,0.14112607060720558,0.09546119337132518,0.03387321119291846,0.7317670320163272,0.28952618530218294
BNCI2014_001,BNCI2014_001,augmentation,Augmentation,9,4,True,0.42759979869654235,0.1820459548793384,0.6786265432098766,0.15417527843320836,0.10296398465196908,0.04711053899282663,0.8036928102370264,0.38517546620029774
BNCI2014_001,BNCI2014_001,baseline,Baseline,9,4,True,0.4205865069500987,0.19027831105412893,0.6828703703703705,0.17238766446213769,0.10100793979492691,0.03612632427298734,0.783233726179321,0.3782047048991748
BNCI2014_001,BNCI2014_001,seed_ensemble,Seed ensemble,9,4,True,0.42111735879242407,0.1765761904222779,0.6751543209876544,0.1607764383210088,0.09740411308516007,0.03732803546525363,0.7816222888596828,0.35800332070287677
BNCI2014_001,BNCI2014_001,teacher_student_mixture,Teacher/student,9,4,True,0.42724385422633177,0.16778771376630408,0.6701388888888888,0.1555841436472823,0.10102675272290405,0.04649176254457863,0.7663517328748599,0.3126867506710444
BNCI2014_004,BNCI2014_004,augmentation,Augmentation,9,2,True,0.2814235291836931,0.1519121570781072,0.7821924603174604,0.14256425277417975,0.07091315005057137,0.03933585196413125,0.434904344975777,0.21069886335523663
BNCI2014_004,BNCI2014_004,baseline,Baseline,9,2,True,0.27735861568361453,0.15548280521794464,0.786607142857143,0.14285931297954874,0.06693007664252407,0.03926802059507686,0.4252223158132251,0.21765406661916775
BNCI2014_004,BNCI2014_004,seed_ensemble,Seed ensemble,9,2,True,0.27857532431469606,0.14874306498195913,0.7865575396825396,0.13836748430433723,0.062077459469292245,0.03603717451203156,0.427631847628555,0.20762869295479994
BNCI2014_004,BNCI2014_004,teacher_student_mixture,Teacher/student,9,2,True,0.2738773431031918,0.15023026760278912,0.786607142857143,0.14366971902979336,0.06230232491091246,0.027139895016521448,0.414705752324049,0.20150580218529215
