n_nonzero_pairs,attainable_p_floor
3,0.25
4,0.125
5,0.0625
6,0.03125
7,0.015625
8,0.0078125
9,0.00390625
10,0.001953125
11,0.0009765625
12,0.00048828125
13,0.000244140625
14,0.0001220703125
15,6.103515625e-05
16,3.0517578125e-05
17,1.52587890625e-05
18,7.62939453125e-06
19,3.814697265625e-06
20,1.9073486328125e-06
21,9.5367431640625e-07
22,4.76837158203125e-07
23,2.384185791015625e-07
24,1.1920928955078125e-07
25,5.960464477539063e-08
26,2.9802322387695312e-08
27,1.4901161193847656e-08
28,7.450580596923828e-09
29,3.725290298461914e-09
30,1.862645149230957e-09
31,9.313225746154785e-10
32,4.656612873077393e-10
33,2.3283064365386963e-10
34,1.1641532182693481e-10
35,5.820766091346741e-11
36,2.9103830456733704e-11
37,1.4551915228366852e-11
38,7.275957614183426e-12
39,3.637978807091713e-12
40,1.8189894035458565e-12
