dataset,method,method_label,n_subjects,mean_confidence_minus_accuracy,mean_Brier_rank_shift,mean_delta_accuracy_vs_baseline,median_delta_accuracy_vs_baseline,accuracy_wins_ties_losses_vs_baseline,mean_delta_Brier_vs_baseline,median_delta_Brier_vs_baseline,Brier_wins_ties_losses_vs_baseline,mean_delta_ECE_vs_baseline,median_delta_ECE_vs_baseline,ECE_wins_ties_losses_vs_baseline,mean_delta_NLL_vs_baseline,median_delta_NLL_vs_baseline,NLL_wins_ties_losses_vs_baseline
BNCI2014_001,augmentation,Augmentation,9,-0.00685269942136052,0.2222222222222222,-0.00424382716049383,0.0,3/2/4,0.007013291746443603,0.0,3/2/4,0.0019560448570421626,0.0,4/2/3,0.020459084057705294,0.0,3/2/4
BNCI2014_001,baseline,Baseline,9,-0.024748626835357494,-1.3333333333333333,0.0,0.0,0/9/0,0.0,0.0,0/9/0,0.0,0.0,0/9/0,0.0,0.0,0/9/0
BNCI2014_001,seed_ensemble,Seed ensemble,9,-0.0029305779977943803,-1.1111111111111112,-0.007716049382716059,-0.00347222222222221,3/0/6,0.0005308518423253287,-0.01091127667438041,6/0/3,-0.0036038267097668547,-0.005340702583904108,5/0/4,-0.0016114373196384141,-0.021243553004326454,5/0/4
BNCI2014_001,teacher_student_mixture,Teacher/student,9,-0.04294982203577662,1.0,-0.012731481481481474,0.01041666666666663,5/0/4,0.00665734727623305,0.005397438077809347,3/0/6,1.8812927977134173e-05,0.0006912996852858899,4/0/5,-0.01688199330446121,0.006490993511183096,3/0/6
BNCI2014_001,validation_selected_portfolio,Portfolio,9,0.00601515346655912,1.2222222222222223,-0.015817901234567902,-0.00694444444444442,3/0/6,0.010241774716003519,-0.0048624642528722894,5/0/4,-0.004589315534352962,-0.010050765370124393,6/0/3,0.015202009490025679,-0.015491229569769338,5/0/4
BNCI2014_004,augmentation,Augmentation,9,0.023732564679590642,0.7777777777777778,-0.004414682539682542,0.0,1/5/3,0.004064913500078626,0.0,2/5/2,0.003983073408047311,0.0,2/5/2,0.009682029162551987,0.0,1/5/3
BNCI2014_004,baseline,Baseline,9,0.013350488515896288,-0.6666666666666666,0.0,0.0,0/9/0,0.0,0.0,0/9/0,0.0,0.0,0/9/0,0.0,0.0,0/9/0
BNCI2014_004,seed_ensemble,Seed ensemble,9,0.01707732603052213,-1.0,-4.9603174603205266e-05,0.0,4/1/4,0.0012167086310815233,-0.0003936769159131326,6/0/3,-0.004852617173231821,-0.010785175261281102,7/0/2,0.0024095318153299367,-0.001318411691662802,6/0/3
BNCI2014_004,teacher_student_mixture,Teacher/student,9,0.00739980389317844,-0.3333333333333333,0.0,0.0,2/5/2,-0.0034812725804227135,0.0,2/5/2,-0.0046277517316116006,0.0,3/5/1,-0.010516563489176081,0.0,2/5/2
BNCI2014_004,validation_selected_portfolio,Portfolio,9,0.02342344336360982,1.2222222222222223,-0.005109126984126997,-0.0031250000000000444,2/1/6,-3.6924719874731495e-05,-0.00023162675321059673,5/1/3,-0.005382555857921012,-0.0058488835389554,6/1/2,-0.0018529270093768538,0.0,4/1/4
