dataset,subject,experiment_key,method_label,metric,baseline,candidate,delta
BCI IV-2a,1,seed_ensemble,Seed ensemble,Brier,0.2762477643368736,0.2364535324749427,-0.0397942318619309
BCI IV-2a,2,seed_ensemble,Seed ensemble,Brier,0.6070387511967608,0.5653349724344872,-0.0417037787622736
BCI IV-2a,3,seed_ensemble,Seed ensemble,Brier,0.1163676299644283,0.0873146539147688,-0.029052976049659507
BCI IV-2a,4,seed_ensemble,Seed ensemble,Brier,0.4027517566367692,0.3878278372777464,-0.01492391935902282
BCI IV-2a,5,seed_ensemble,Seed ensemble,Brier,0.573748379586127,0.5966004185821779,0.022852038996050927
BCI IV-2a,6,seed_ensemble,Seed ensemble,Brier,0.6242246081218943,0.6195965043799819,-0.004628103741912359
BCI IV-2a,7,seed_ensemble,Seed ensemble,Brier,0.4144500327575612,0.3833261865261146,-0.031123846231446595
BCI IV-2a,8,seed_ensemble,Seed ensemble,Brier,0.2954858432919847,0.2947841686612889,-0.0007016746306957589
BCI IV-2a,9,seed_ensemble,Seed ensemble,Brier,0.332176542119649,0.2954976456979383,-0.03667889642171068
BCI IV-2a,1,seed_ensemble,Seed ensemble,accuracy,0.8020833333333334,0.8506944444444444,0.04861111111111105
BCI IV-2a,2,seed_ensemble,Seed ensemble,accuracy,0.5208333333333334,0.5520833333333334,0.03125
BCI IV-2a,3,seed_ensemble,Seed ensemble,accuracy,0.9201388888888888,0.9409722222222222,0.02083333333333337
BCI IV-2a,4,seed_ensemble,Seed ensemble,accuracy,0.6840277777777778,0.71875,0.03472222222222221
BCI IV-2a,5,seed_ensemble,Seed ensemble,accuracy,0.5555555555555556,0.5520833333333334,-0.00347222222222221
BCI IV-2a,6,seed_ensemble,Seed ensemble,accuracy,0.4861111111111111,0.4826388888888889,-0.00347222222222221
BCI IV-2a,7,seed_ensemble,Seed ensemble,accuracy,0.71875,0.7291666666666666,0.01041666666666663
BCI IV-2a,8,seed_ensemble,Seed ensemble,accuracy,0.8090277777777778,0.8090277777777778,0.0
BCI IV-2a,9,seed_ensemble,Seed ensemble,accuracy,0.7689393939393939,0.7954545454545454,0.02651515151515149
BCI IV-2a,1,seed_ensemble,Seed ensemble,ECE,0.0517902093919036,0.0602049826175276,0.008414773225624006
BCI IV-2a,2,seed_ensemble,Seed ensemble,ECE,0.0815611585910874,0.1158847875159304,0.034323628924843
BCI IV-2a,3,seed_ensemble,Seed ensemble,ECE,0.0386793369228498,0.0160351736514905,-0.022644163271359298
BCI IV-2a,4,seed_ensemble,Seed ensemble,ECE,0.0850228790366982,0.0836338135650005,-0.0013890654716976897
BCI IV-2a,5,seed_ensemble,Seed ensemble,ECE,0.0754264029178357,0.0852307081118671,0.009804305194031401
BCI IV-2a,6,seed_ensemble,Seed ensemble,ECE,0.1328965753895528,0.121163424481714,-0.011733150907838802
BCI IV-2a,7,seed_ensemble,Seed ensemble,ECE,0.1224114974977541,0.1393177591783515,0.016906261680597418
BCI IV-2a,8,seed_ensemble,Seed ensemble,ECE,0.0575844901485496,0.0717839020220434,0.014199411873493807
BCI IV-2a,9,seed_ensemble,Seed ensemble,ECE,0.0818248603427216,0.0524524987007237,-0.0293723616419979
