dataset,method,method_label,metric,n,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,wins,ties,losses
BCI IV-2a,seed_ensemble,Seed ensemble,Brier,9,-0.019528376451400143,-0.029052976049659507,-0.031864001566076904,-0.005394662073830136,0.02734375,8,0,1
BCI IV-2a,seed_ensemble,Seed ensemble,accuracy,9,0.018378226711560038,0.02083333333333337,0.007047032828282834,0.030197811447811418,0.0390625,6,1,2
BCI IV-2a,seed_ensemble,Seed ensemble,ECE,9,0.002056626622855105,0.008414773225624006,-0.010523251559861072,0.01437446403871892,0.8203125,4,0,5
BCI IV-2a,seed_ensemble,Seed ensemble,NLL,9,-0.01810859500060958,-0.023275909696186203,-0.0471412609211141,0.012690982774262435,0.359375,6,0,3
BCI IV-2a,augmentation,Augmentation,Brier,9,-0.018709007087368446,0.0,-0.04544189415308022,-0.00023699024219876586,0.1875,4,4,1
BCI IV-2a,augmentation,Augmentation,accuracy,9,0.01914983164983164,0.00694444444444442,0.004243827160493824,0.039983164983164975,0.0625,5,4,0
BCI IV-2a,augmentation,Augmentation,ECE,9,0.003094852829003459,0.0,-0.008239749228278708,0.01886214099428844,1.0,2,4,3
BCI IV-2a,augmentation,Augmentation,NLL,9,-0.018395050965477937,0.0,-0.04110842294214919,0.0015707041659627095,0.3125,3,4,2
BCI IV-2a,teacher_student_mixture,Teacher/student,Brier,9,-0.006696065341783265,0.0,-0.02753998771616416,0.010277443349437417,0.9453125,4,1,4
BCI IV-2a,teacher_student_mixture,Teacher/student,accuracy,9,0.012345679012345685,0.0,0.001543209876543229,0.024305555555555556,0.125,4,4,1
BCI IV-2a,teacher_student_mixture,Teacher/student,ECE,9,0.01466148112255265,0.0,-0.01373821614859595,0.04431798261085511,0.546875,4,1,4
BCI IV-2a,teacher_student_mixture,Teacher/student,NLL,9,-0.008504829117983106,-0.001986208748068208,-0.053461547795599654,0.028612027995587916,0.84375,5,1,3
BCI IIIa,seed_ensemble,Seed ensemble,Brier,3,-0.03588257003512638,-0.015928195055862904,-0.0807701553446169,-0.010949359704899325,0.25,3,0,0
BCI IIIa,seed_ensemble,Seed ensemble,accuracy,3,0.023809523809523798,0.0,0.0,0.0714285714285714,1.0,1,2,0
BCI IIIa,seed_ensemble,Seed ensemble,ECE,3,0.02470377448437736,0.026248199643085293,0.008826691467383407,0.03903643234266338,0.25,0,0,3
BCI IIIa,seed_ensemble,Seed ensemble,NLL,3,-0.05436703471720098,-0.016611997596346018,-0.16430948236130416,0.01782037580604723,0.75,2,0,1
