dataset,method,method_label,bin,bin_lower,bin_upper,count,confidence,accuracy,gap
BCI IIIa,augmentation,Augmentation,3,0.30000000000000004,0.4,8,0.3623327778899053,0.5,0.1376672221100947
BCI IIIa,augmentation,Augmentation,4,0.4,0.5,22,0.45224371149416387,0.4090909090909091,0.04315280240325475
BCI IIIa,augmentation,Augmentation,5,0.5,0.6000000000000001,20,0.5430512806648673,0.65,0.10694871933513272
BCI IIIa,augmentation,Augmentation,6,0.6000000000000001,0.7000000000000001,13,0.641752548533248,1.0,0.35824745146675196
BCI IIIa,augmentation,Augmentation,7,0.7000000000000001,0.8,12,0.7390885479191627,0.75,0.010911452080837325
BCI IIIa,augmentation,Augmentation,8,0.8,0.9,5,0.8660887733321749,1.0,0.13391122666782507
BCI IIIa,augmentation,Augmentation,9,0.9,1.0,67,0.9915352672074506,0.9104477611940298,0.08108750601342074
BCI IIIa,baseline,Baseline,3,0.30000000000000004,0.4,18,0.36391794899788077,0.4444444444444444,0.08052649544656365
BCI IIIa,baseline,Baseline,4,0.4,0.5,21,0.4489769399000987,0.5714285714285714,0.12245163152847272
BCI IIIa,baseline,Baseline,5,0.5,0.6000000000000001,17,0.5525247778729211,0.6470588235294118,0.0945340456564907
BCI IIIa,baseline,Baseline,6,0.6000000000000001,0.7000000000000001,12,0.6348078011411618,0.75,0.11519219885883825
BCI IIIa,baseline,Baseline,7,0.7000000000000001,0.8,14,0.7432196235383243,0.7857142857142857,0.04249466217596143
BCI IIIa,baseline,Baseline,8,0.8,0.9,10,0.8481925862965471,0.7,0.1481925862965472
BCI IIIa,baseline,Baseline,9,0.9,1.0,55,0.9853011948657496,0.9454545454545454,0.039846649411204194
BCI IIIa,seed_ensemble,Seed ensemble,3,0.30000000000000004,0.4,21,0.36593975828101083,0.6190476190476191,0.25310786076660824
BCI IIIa,seed_ensemble,Seed ensemble,4,0.4,0.5,14,0.4547204633108505,0.42857142857142855,0.026149034739421928
BCI IIIa,seed_ensemble,Seed ensemble,5,0.5,0.6000000000000001,15,0.5491829263210183,0.5333333333333333,0.015849592987684957
BCI IIIa,seed_ensemble,Seed ensemble,6,0.6000000000000001,0.7000000000000001,13,0.6511021363680934,0.6923076923076923,0.04120555593959885
BCI IIIa,seed_ensemble,Seed ensemble,7,0.7000000000000001,0.8,16,0.7463334411939003,0.875,0.12866655880609967
BCI IIIa,seed_ensemble,Seed ensemble,8,0.8,0.9,7,0.8451569234034216,0.7142857142857143,0.13087120911770733
BCI IIIa,seed_ensemble,Seed ensemble,9,0.9,1.0,61,0.9879623326443809,0.9508196721311475,0.03714266051323345
BCI IIIa,teacher_student_mixture,Teacher/student,2,0.2,0.30000000000000004,1,0.2849794924259186,0.0,0.2849794924259186
BCI IIIa,teacher_student_mixture,Teacher/student,3,0.30000000000000004,0.4,14,0.36344405687081643,0.5714285714285714,0.20798451455775496
BCI IIIa,teacher_student_mixture,Teacher/student,4,0.4,0.5,16,0.4498845468081178,0.4375,0.012384546808117791
BCI IIIa,teacher_student_mixture,Teacher/student,5,0.5,0.6000000000000001,22,0.5543575703969519,0.6818181818181818,0.12746061142122989
BCI IIIa,teacher_student_mixture,Teacher/student,6,0.6000000000000001,0.7000000000000001,17,0.6549564681846808,0.8823529411764706,0.22739647299178978
BCI IIIa,teacher_student_mixture,Teacher/student,7,0.7000000000000001,0.8,14,0.7451525977948921,0.8571428571428571,0.11199025934796503
BCI IIIa,teacher_student_mixture,Teacher/student,8,0.8,0.9,12,0.8297948911911751,0.75,0.07979489119117511
BCI IIIa,teacher_student_mixture,Teacher/student,9,0.9,1.0,51,0.9842924923145906,0.9411764705882353,0.043116021726355314
BCI IV-2a,augmentation,Augmentation,2,0.2,0.30000000000000004,3,0.2850328512942397,0.0,0.2850328512942397
BCI IV-2a,augmentation,Augmentation,3,0.30000000000000004,0.4,94,0.3637243552617262,0.35106382978723405,0.012660525474492146
BCI IV-2a,augmentation,Augmentation,4,0.4,0.5,238,0.45330648192744133,0.3949579831932773,0.058348498734164034
BCI IV-2a,augmentation,Augmentation,5,0.5,0.6000000000000001,355,0.5495709627543884,0.476056338028169,0.07351462472621945
BCI IV-2a,augmentation,Augmentation,6,0.6000000000000001,0.7000000000000001,331,0.6466004685900071,0.6132930513595166,0.033307417230490466
