bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,method,method_label,source_file
0,0.0,0.1,0,,,,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
3,0.30000000000000004,0.4,0,,,,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
4,0.4,0.5,0,,,,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
5,0.5,0.6000000000000001,0,,,,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,2,0.6276090251106226,1.0,0.37239097488937745,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
7,0.7000000000000001,0.8,2,0.7298020969419327,0.0,0.7298020969419327,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
8,0.8,0.9,1,0.8636953741684195,1.0,0.13630462583158054,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
9,0.9,1.0,58,0.9950524786480713,0.896551724137931,0.09850075451014029,BCI IIIa,k3b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
3,0.30000000000000004,0.4,5,0.3611356368809712,0.4,0.0388643631190288,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
4,0.4,0.5,11,0.4461982364013922,0.45454545454545453,0.008347218144062307,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
5,0.5,0.6000000000000001,7,0.526680489503535,0.5714285714285714,0.04474808192503643,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,4,0.6338389222553532,1.0,0.3661610777446468,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
7,0.7000000000000001,0.8,5,0.762756817570794,0.8,0.03724318242920599,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
8,0.8,0.9,3,0.8722508008523842,1.0,0.12774919914761584,BCI IIIa,k6b,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
