dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier,method,method_label,source_file
BCI IIIa,k3b,augmentation,63,0.873015873015873,0.9728819266644708,0.127837056048926,0.23169570098695333,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k6b,augmentation,42,0.6904761904761905,0.6226397721069167,0.06783641836927387,0.4033880423858745,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,l1b,augmentation,42,0.7142857142857143,0.5771850037251968,0.18668076067748385,0.42868434174479797,augmentation,Augmentation,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,k3b,baseline,63,0.8412698412698413,0.9205073245864891,0.12170016306944108,0.24296182581859643,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k6b,baseline,42,0.7142857142857143,0.52079141988881,0.1934942943969044,0.4568025406863941,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,l1b,baseline,42,0.6428571428571429,0.623881401981832,0.08680705762950175,0.4650966398271279,baseline,Baseline,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,k3b,seed_ensemble,63,0.8412698412698413,0.9514819217075114,0.11021208043767004,0.23201246642247153,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k6b,seed_ensemble,42,0.7142857142857143,0.5309129612004888,0.1833727530852255,0.4408743444826819,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,l1b,seed_ensemble,42,0.7142857142857143,0.634150558430797,0.11894303685817567,0.3843264863335944,seed_ensemble,Seed ensemble,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,k3b,teacher_student_mixture,63,0.8412698412698413,0.9141104524199196,0.11442922691433881,0.2333693617632342,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k6b,teacher_student_mixture,42,0.7142857142857143,0.579114519830684,0.13592427545082225,0.4050837000881732,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,l1b,teacher_student_mixture,42,0.7380952380952381,0.5851976043224475,0.16646808579307257,0.4197397187752311,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IV-2a,1,augmentation,288,0.8090277777777778,0.8357105150268449,0.03492983487971878,0.27076815045762626,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,2,augmentation,288,0.5347222222222222,0.6445630632203438,0.15550571366690813,0.6160447824157017,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject2_probabilities.npz
BCI IV-2a,3,augmentation,288,0.9201388888888888,0.92876197566757,0.03552083734408013,0.11636763040337837,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject3_probabilities.npz
BCI IV-2a,4,augmentation,288,0.7152777777777778,0.6933463514980538,0.04654937202838628,0.38260678350329935,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject4_probabilities.npz
BCI IV-2a,5,augmentation,288,0.5555555555555556,0.6112398528455907,0.056208636821083714,0.5737483786700497,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject5_probabilities.npz
BCI IV-2a,6,augmentation,288,0.4861111111111111,0.5953986861492031,0.11021559320738564,0.6242246076147515,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject6_probabilities.npz
BCI IV-2a,7,augmentation,288,0.8125,0.9129976740209587,0.10535882048083961,0.30533936088744035,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject7_probabilities.npz
BCI IV-2a,8,augmentation,288,0.8090277777777778,0.8441385572831126,0.0590825552344661,0.2954858439092635,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject8_probabilities.npz
BCI IV-2a,9,augmentation,264,0.7954545454545454,0.7583863005833245,0.050926231102795816,0.28952470773834066,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject9_probabilities.npz
BCI IV-2a,1,baseline,288,0.8020833333333334,0.8253394674937787,0.03135312334899154,0.27624776353412994,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,2,baseline,288,0.5208333333333334,0.5474295029453332,0.034504850485608175,0.6070387516736524,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject2_probabilities.npz
BCI IV-2a,3,baseline,288,0.9201388888888888,0.92876197566757,0.03552083734408013,0.11636763040337837,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject3_probabilities.npz
BCI IV-2a,4,baseline,288,0.6840277777777778,0.6798716375741758,0.03213915259897923,0.4027517555959088,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject4_probabilities.npz
BCI IV-2a,5,baseline,288,0.5555555555555556,0.6112398528455907,0.056208636821083714,0.5737483786700497,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject5_probabilities.npz
BCI IV-2a,6,baseline,288,0.4861111111111111,0.5953986861492031,0.11021559320738564,0.6242246076147515,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject6_probabilities.npz
BCI IV-2a,7,baseline,288,0.71875,0.836809530453984,0.12046316510407144,0.41445003255677165,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject7_probabilities.npz
BCI IV-2a,8,baseline,288,0.8090277777777778,0.8441385572831126,0.0590825552344661,0.2954858439092635,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject8_probabilities.npz
BCI IV-2a,9,baseline,264,0.7689393939393939,0.7382508209488353,0.06061592263321614,0.332176542050777,baseline,Baseline,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject9_probabilities.npz
BCI IV-2a,1,seed_ensemble,288,0.8506944444444444,0.8929068629591518,0.05124806011224191,0.23645353341582995,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
BCI IV-2a,2,seed_ensemble,288,0.5520833333333334,0.6009644593754997,0.1006184279686188,0.5653349737656888,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject2_probabilities.npz
BCI IV-2a,3,seed_ensemble,288,0.9409722222222222,0.931866334325278,0.017866253966874118,0.08731465355209046,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject3_probabilities.npz
BCI IV-2a,4,seed_ensemble,288,0.71875,0.6839991694427536,0.07114103037501744,0.38782783772410956,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject4_probabilities.npz
BCI IV-2a,5,seed_ensemble,288,0.5520833333333334,0.6045687115739441,0.05536584989434132,0.596600418930131,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject5_probabilities.npz
BCI IV-2a,6,seed_ensemble,288,0.4826388888888889,0.5968095179265123,0.1141706290376234,0.6195965042270031,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject6_probabilities.npz
BCI IV-2a,7,seed_ensemble,288,0.7291666666666666,0.8684844252562202,0.13931775858955353,0.3833261868795293,seed_ensemble,Seed ensemble,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject7_probabilities.npz
