dataset,target_coverage,method,method_label,reference_method,n_subjects,mean_delta_selective_accuracy,median_delta_selective_accuracy,wilcoxon_p_selective_accuracy,wins_selective_accuracy,ties_selective_accuracy,losses_selective_accuracy,mean_delta_risk,median_delta_risk,wilcoxon_p_risk,eval_labels_used_for_threshold
BCI IIIa,0.4,augmentation,Augmentation,baseline,3,0.07205882352941177,0.0911764705882353,0.5,2,1,0,-0.07205882352941177,-0.09117647058823529,0.5,False
BCI IIIa,0.4,seed_ensemble,Seed ensemble,baseline,3,0.046212121212121225,0.013636363636363669,0.5,2,1,0,-0.04621212121212121,-0.013636363636363641,0.5,False
BCI IIIa,0.4,teacher_student_mixture,Teacher/student,baseline,3,0.046212121212121225,0.0,1.0,1,1,1,-0.04621212121212121,0.0,1.0,False
BCI IIIa,0.4,validation_selected_portfolio,Portfolio,baseline,3,0.07205882352941177,0.0911764705882353,0.5,2,1,0,-0.07205882352941177,-0.09117647058823529,0.5,False
BCI IIIa,0.4,augmentation,Augmentation,seed_ensemble,3,0.025846702317290544,0.0,1.0,1,2,0,-0.02584670231729055,0.0,1.0,False
BCI IIIa,0.4,baseline,Baseline,seed_ensemble,3,-0.046212121212121225,-0.013636363636363669,0.5,0,1,2,0.04621212121212121,0.013636363636363641,0.5,False
BCI IIIa,0.4,teacher_student_mixture,Teacher/student,seed_ensemble,3,0.0,0.0,1.0,1,1,1,0.0,0.0,1.0,False
BCI IIIa,0.4,validation_selected_portfolio,Portfolio,seed_ensemble,3,0.025846702317290544,0.0,1.0,1,2,0,-0.02584670231729055,0.0,1.0,False
BCI IIIa,0.6,augmentation,Augmentation,baseline,3,0.0807109557109557,0.011363636363636354,0.5,2,1,0,-0.08071095571095571,-0.011363636363636354,0.5,False
BCI IIIa,0.6,seed_ensemble,Seed ensemble,baseline,3,0.02263014763014759,0.0,1.0,1,1,1,-0.02263014763014763,0.0,1.0,False
BCI IIIa,0.6,teacher_student_mixture,Teacher/student,baseline,3,0.02099513389835968,0.0,1.0,1,1,1,-0.02099513389835971,0.0,1.0,False
BCI IIIa,0.6,validation_selected_portfolio,Portfolio,baseline,3,0.05040792540792538,0.011363636363636354,0.5,2,1,0,-0.05040792540792541,-0.011363636363636354,0.5,False
BCI IIIa,0.6,augmentation,Augmentation,seed_ensemble,3,0.0580808080808081,0.08333333333333337,0.5,2,1,0,-0.05808080808080809,-0.08333333333333334,0.5,False
BCI IIIa,0.6,baseline,Baseline,seed_ensemble,3,-0.02263014763014759,0.0,1.0,1,1,1,0.02263014763014763,0.0,1.0,False
BCI IIIa,0.6,teacher_student_mixture,Teacher/student,seed_ensemble,3,-0.001635013731787908,0.0,1.0,1,1,1,0.0016350137317879172,0.0,1.0,False
BCI IIIa,0.6,validation_selected_portfolio,Portfolio,seed_ensemble,3,0.02777777777777779,0.0,1.0,1,2,0,-0.02777777777777778,0.0,1.0,False
BCI IIIa,0.8,augmentation,Augmentation,baseline,3,0.04693078676818511,0.04814814814814805,0.5,2,0,1,-0.046930786768185156,-0.04814814814814816,0.5,False
BCI IIIa,0.8,seed_ensemble,Seed ensemble,baseline,3,0.03266711833785004,0.024390243902439046,0.5,2,0,1,-0.03266711833785005,-0.024390243902439025,0.5,False
BCI IIIa,0.8,teacher_student_mixture,Teacher/student,baseline,3,0.00744885038702392,0.0011344299489506326,0.75,2,0,1,-0.0074488503870239545,-0.0011344299489506535,0.75,False
BCI IIIa,0.8,validation_selected_portfolio,Portfolio,baseline,3,0.032049834387232745,0.04814814814814805,0.5,2,0,1,-0.03204983438723277,-0.04814814814814816,0.5,False
BCI IIIa,0.8,augmentation,Augmentation,seed_ensemble,3,0.014263668430335072,0.044642857142857095,1.0,2,0,1,-0.014263668430335103,-0.04464285714285715,1.0,False
BCI IIIa,0.8,baseline,Baseline,seed_ensemble,3,-0.03266711833785004,-0.024390243902439046,0.5,1,0,2,0.03266711833785005,0.024390243902439025,0.5,False
BCI IIIa,0.8,teacher_student_mixture,Teacher/student,seed_ensemble,3,-0.02521826795082612,-0.024621212121212155,0.25,0,0,3,0.025218267950826097,0.024621212121212127,0.25,False
BCI IIIa,0.8,validation_selected_portfolio,Portfolio,seed_ensemble,3,-0.0006172839506172941,0.0,1.0,1,1,1,0.0006172839506172803,0.0,1.0,False
BCI IIIa,0.9,augmentation,Augmentation,baseline,3,0.03457413698339854,0.046428571428571486,0.5,2,0,1,-0.034574136983398576,-0.04642857142857146,0.5,False
BCI IIIa,0.9,seed_ensemble,Seed ensemble,baseline,3,0.00044326241134751143,0.0,1.0,1,2,0,-0.00044326241134751604,0.0,1.0,False
BCI IIIa,0.9,teacher_student_mixture,Teacher/student,baseline,3,0.01413721952635727,0.0013297872340425343,0.75,2,0,1,-0.014137219526357275,-0.0013297872340425482,0.75,False
BCI IIIa,0.9,validation_selected_portfolio,Portfolio,baseline,3,0.010608995371198119,0.0,1.0,1,1,1,-0.010608995371198133,0.0,1.0,False
BCI IIIa,0.9,augmentation,Augmentation,seed_ensemble,3,0.03413087457205103,0.046428571428571486,0.5,2,0,1,-0.03413087457205106,-0.04642857142857146,0.5,False
BCI IIIa,0.9,baseline,Baseline,seed_ensemble,3,-0.00044326241134751143,0.0,1.0,0,2,1,0.00044326241134751604,0.0,1.0,False
BCI IIIa,0.9,teacher_student_mixture,Teacher/student,seed_ensemble,3,0.013693957115009758,0.0,1.0,1,1,1,-0.013693957115009758,0.0,1.0,False
BCI IIIa,0.9,validation_selected_portfolio,Portfolio,seed_ensemble,3,0.010165732959850607,0.0,1.0,1,1,1,-0.010165732959850618,0.0,1.0,False
BCI IV-2a,0.4,architecture,architecture,baseline,9,0.02067271241360866,0.013138606873337344,0.3828125,5,1,3,-0.020672712413608647,-0.013138606873337344,0.3828125,False
BCI IV-2a,0.4,augmentation,Augmentation,baseline,9,0.008240670651384575,0.0,1.0,3,4,2,-0.008240670651384584,0.0,1.0,False
BCI IV-2a,0.4,brier_loss,brier_loss,baseline,9,0.005976704315517704,0.0,0.84375,3,3,3,-0.0059767043155177085,0.0,0.84375,False
BCI IV-2a,0.4,calibration_checkpoint,calibration_checkpoint,baseline,9,0.005007295936601924,0.0,0.84375,3,3,3,-0.005007295936601933,0.0,0.84375,False
BCI IV-2a,0.4,calibration_grid,calibration_grid,baseline,9,-0.02238167991432906,0.0,0.46875,3,2,4,0.022381679914329076,0.0,0.46875,False
BCI IV-2a,0.4,crop_aggregation,crop_aggregation,baseline,9,-0.004908815384905125,0.0,0.6875,3,3,3,0.004908815384905139,0.0,0.6875,False
BCI IV-2a,0.4,seed_ensemble,Seed ensemble,baseline,9,0.011044396493891797,0.015625,0.3125,5,1,3,-0.011044396493891783,-0.015625,0.3125,False
BCI IV-2a,0.4,stronger_teacher,stronger_teacher,baseline,9,-0.29326947881913407,-0.28696599823513863,0.0625,1,0,5,0.29326947881913407,0.28696599823513863,0.0625,False
BCI IV-2a,0.4,swa_ema,swa_ema,baseline,9,-0.013017733073607145,-0.015144230769230771,0.15625,2,2,5,0.01301773307360715,0.015144230769230771,0.15625,False
