dataset,subject,method,method_label,target_coverage,threshold,threshold_source,threshold_selection_split,eval_labels_used_for_threshold,heldout_curve_type,val_coverage,val_selective_accuracy,val_risk,heldout_coverage,heldout_selective_accuracy,heldout_risk,heldout_n_covered,heldout_accuracy_all,mean_val_confidence,mean_heldout_confidence,source_file
BCI IIIa,k3b,augmentation,Augmentation,0.4,0.9999999998958966,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,1.0,0.0,0.30158730158730157,1.0,0.0,19,0.873015873015873,0.9803273613644855,0.9728819266644708,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,augmentation,Augmentation,0.6,0.999999958971432,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5833333333333334,1.0,0.0,0.5238095238095238,1.0,0.0,33,0.873015873015873,0.9803273613644855,0.9728819266644708,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,augmentation,Augmentation,0.8,0.9999171111395005,validation_confidence_quantile,validation,False,validation_selected_threshold,0.7916666666666666,1.0,0.0,0.7142857142857143,0.9333333333333333,0.06666666666666667,45,0.873015873015873,0.9803273613644855,0.9728819266644708,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,augmentation,Augmentation,0.9,0.9972583169270437,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,1.0,0.0,0.8095238095238095,0.9215686274509803,0.0784313725490196,51,0.873015873015873,0.9803273613644855,0.9728819266644708,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,baseline,Baseline,0.4,0.999054478857194,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,1.0,0.0,0.30158730158730157,1.0,0.0,19,0.8412698412698413,0.9683861038026776,0.9205073245864891,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,baseline,Baseline,0.6,0.9936326174248061,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5833333333333334,1.0,0.0,0.5079365079365079,1.0,0.0,32,0.8412698412698413,0.9683861038026776,0.9205073245864891,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,baseline,Baseline,0.8,0.9762904837226242,validation_confidence_quantile,validation,False,validation_selected_threshold,0.7916666666666666,1.0,0.0,0.6507936507936508,0.975609756097561,0.024390243902439025,41,0.8412698412698413,0.9683861038026776,0.9205073245864891,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,baseline,Baseline,0.9,0.9234099913504114,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,1.0,0.0,0.746031746031746,0.9361702127659575,0.06382978723404255,47,0.8412698412698413,0.9683861038026776,0.9205073245864891,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,seed_ensemble,Seed ensemble,0.4,0.9999813093984184,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,1.0,0.0,0.30158730158730157,1.0,0.0,19,0.8412698412698413,0.9793676861056252,0.9514819217075114,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,seed_ensemble,Seed ensemble,0.6,0.9997058498861845,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5833333333333334,1.0,0.0,0.47619047619047616,1.0,0.0,30,0.8412698412698413,0.9793676861056252,0.9514819217075114,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,seed_ensemble,Seed ensemble,0.8,0.998249253779043,validation_confidence_quantile,validation,False,validation_selected_threshold,0.7916666666666666,1.0,0.0,0.6190476190476191,1.0,0.0,39,0.8412698412698413,0.9793676861056252,0.9514819217075114,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,seed_ensemble,Seed ensemble,0.9,0.9788319142628783,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,1.0,0.0,0.7619047619047619,0.9375,0.0625,48,0.8412698412698413,0.9793676861056252,0.9514819217075114,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,0.4,0.9945826194057186,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,1.0,0.0,0.3492063492063492,1.0,0.0,22,0.8412698412698413,0.9602472109517338,0.9141104524199196,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
BCI IIIa,k3b,teacher_student_mixture,Teacher/student,0.6,0.9871666626074995,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5833333333333334,1.0,0.0,0.4603174603174603,1.0,0.0,29,0.8412698412698413,0.9602472109517338,0.9141104524199196,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
