dataset,method,method_label,target_coverage,n_subjects,heldout_coverage_mean,heldout_coverage_std,heldout_selective_accuracy_mean,heldout_selective_accuracy_std,heldout_risk_mean,heldout_risk_std,heldout_n_covered_sum,eval_labels_used_for_threshold
BCI IIIa,augmentation,Augmentation,0.4,3,0.2751322751322751,0.11813287598818045,0.9803921568627452,0.027729677693590107,0.0196078431372549,0.0277296776935901,41,False
BCI IIIa,baseline,Baseline,0.4,3,0.3862433862433862,0.07137956382662455,0.9083333333333333,0.06561673228343176,0.09166666666666667,0.06561673228343176,55,False
BCI IIIa,seed_ensemble,Seed ensemble,0.4,3,0.3941798941798942,0.09442628728875528,0.9545454545454546,0.06428243465332249,0.04545454545454545,0.0642824346533225,56,False
BCI IIIa,teacher_student_mixture,Teacher/student,0.4,3,0.4259259259259259,0.07283544919542967,0.9545454545454546,0.06428243465332249,0.04545454545454545,0.0642824346533225,61,False
BCI IIIa,validation_selected_portfolio,Portfolio,0.4,3,0.3544973544973545,0.042162374207696376,0.9803921568627452,0.027729677693590107,0.0196078431372549,0.0277296776935901,51,False
BCI IIIa,augmentation,Augmentation,0.6,3,0.4761904761904762,0.10286889997472794,0.9583333333333334,0.05892556509887896,0.041666666666666664,0.05892556509887896,71,False
BCI IIIa,baseline,Baseline,0.6,3,0.5502645502645502,0.049066764526432306,0.8776223776223776,0.09472879149751094,0.12237762237762238,0.09472879149751096,80,False
BCI IIIa,seed_ensemble,Seed ensemble,0.6,3,0.5238095238095237,0.038880789567986955,0.9002525252525252,0.08528103429680951,0.09974747474747475,0.08528103429680951,76,False
BCI IIIa,teacher_student_mixture,Teacher/student,0.6,3,0.6216931216931217,0.11777687454789455,0.8986175115207374,0.0720821395185872,0.10138248847926268,0.07208213951858719,88,False
BCI IIIa,validation_selected_portfolio,Portfolio,0.6,3,0.5396825396825397,0.022447834323382432,0.9280303030303031,0.052759046504485305,0.07196969696969698,0.052759046504485305,79,False
BCI IIIa,augmentation,Augmentation,0.8,3,0.6746031746031745,0.029695693545824926,0.8684303350970017,0.04903886334245581,0.13156966490299823,0.049038863342455774,100,False
BCI IIIa,baseline,Baseline,0.8,3,0.7407407407407408,0.08629368481640257,0.8214995483288167,0.11047260373621444,0.17850045167118336,0.11047260373621445,107,False
BCI IIIa,seed_ensemble,Seed ensemble,0.8,3,0.7142857142857143,0.06734350297014735,0.8541666666666666,0.10622957319984969,0.14583333333333334,0.10622957319984969,103,False
BCI IIIa,teacher_student_mixture,Teacher/student,0.8,3,0.775132275132275,0.07167310679441302,0.8289483987158407,0.10789004346393118,0.17105160128415942,0.10789004346393119,112,False
BCI IIIa,validation_selected_portfolio,Portfolio,0.8,3,0.7063492063492064,0.0489239206584839,0.8535493827160493,0.05642368695257118,0.14645061728395062,0.05642368695257116,104,False
BCI IIIa,augmentation,Augmentation,0.9,3,0.8174603174603176,0.011223917161691244,0.8290382819794585,0.0660812487929227,0.17096171802054153,0.06608124879292272,120,False
BCI IIIa,baseline,Baseline,0.9,3,0.8518518518518517,0.0843247484153927,0.79446414499606,0.10020773837201324,0.20553585500394012,0.10020773837201324,123,False
BCI IIIa,seed_ensemble,Seed ensemble,0.9,3,0.8571428571428571,0.07776157913597391,0.7949074074074075,0.10083456619319091,0.2050925925925926,0.10083456619319091,124,False
