dataset,fixed_method,n_subjects,mean_regret_validation,mean_regret_fixed,mean_delta,validation_better,ties,fixed_better,p_raw,n_tests_in_family,p_holm,p_bh
BCI IIIa,seed_ensemble,3,0.0,0.0126010231439893,-0.0126010231439893,2,1,0,0.5,4,1.0,0.6666666666666666
BCI IIIa,teacher_student_mixture,3,0.0,0.012927518616952774,-0.012927518616952774,3,0,0,0.25,4,1.0,0.5
BCI IIIa,augmentation,3,0.0,0.014785952802106409,-0.014785952802106409,1,2,0,1.0,4,1.0,1.0
BCI IIIa,baseline,3,0.0,0.04848359317911568,-0.04848359317911568,3,0,0,0.25,4,1.0,0.5
BCI IV-2a,seed_ensemble,9,0.03439586845363376,0.017147691258583477,0.017248177195050278,2,0,7,0.30078125,11,1.0,0.6970486111111112
BCI IV-2a,augmentation,9,0.03439586845363376,0.017967060622615175,0.016428807831018584,3,1,5,0.3125,11,1.0,0.6970486111111112
BCI IV-2a,architecture,9,0.03439586845363376,0.028506426545493305,0.005889441908140453,1,4,4,0.4375,11,1.0,0.6970486111111112
BCI IV-2a,teacher_student_mixture,9,0.03439586845363376,0.029980002368200358,0.004415866085433401,2,0,7,0.5703125,11,1.0,0.6970486111111112
BCI IV-2a,brier_loss,9,0.03439586845363376,0.03450998792753055,-0.00011411947389679576,3,0,6,0.49609375,11,1.0,0.6970486111111112
BCI IV-2a,crop_aggregation,9,0.03439586845363376,0.03531181967908645,-0.0009159512254526917,3,1,5,0.546875,11,1.0,0.6970486111111112
BCI IV-2a,baseline,9,0.03439586845363376,0.03667606770998362,-0.0022801992563498638,3,0,6,0.5703125,11,1.0,0.6970486111111112
BCI IV-2a,calibration_checkpoint,9,0.03439586845363376,0.03719239305488927,-0.0027965246012555123,3,0,6,0.8203125,11,1.0,0.9023437500000001
BCI IV-2a,swa_ema,9,0.03439586845363376,0.037435831680074104,-0.0030399632264403423,4,0,5,0.91015625,11,1.0,0.91015625
BCI IV-2a,calibration_grid,9,0.03439586845363376,0.05638946653803144,-0.02199359808439769,4,3,2,0.3125,11,1.0,0.6970486111111112
BCI IV-2a,stronger_teacher,9,0.03439586845363376,0.2722685885153212,-0.23787272006168747,9,0,0,0.00390625,11,0.04296875,0.04296875
BNCI2014_001,baseline,9,0.035206161153164196,0.02496438643716068,0.010241774716003519,5,0,4,1.0,4,1.0,1.0
BNCI2014_001,seed_ensemble,9,0.035206161153164196,0.025495238279486007,0.009710922873678189,3,2,4,0.578125,4,1.0,1.0
BNCI2014_001,teacher_student_mixture,9,0.035206161153164196,0.03162173371339373,0.003584427439770468,3,5,1,0.875,4,1.0,1.0
BNCI2014_001,augmentation,9,0.035206161153164196,0.03197767818360428,0.0032284829695599154,5,2,2,0.8125,4,1.0,1.0
BNCI2014_004,teacher_student_mixture,9,0.010266629087969714,0.006822281227421733,0.003444347860547982,3,3,3,1.0,4,1.0,1.0
BNCI2014_004,baseline,9,0.010266629087969714,0.010303553807844446,-3.6924719874731495e-05,5,1,3,0.84375,4,1.0,1.0
BNCI2014_004,seed_ensemble,9,0.010266629087969714,0.01152026243892597,-0.001253633350956255,3,2,4,1.0,4,1.0,1.0
BNCI2014_004,augmentation,9,0.010266629087969714,0.014368467307923072,-0.004101838219953358,3,5,1,0.625,4,1.0,1.0
