dataset,dataset_key,subject,n_methods,metric,selected_method,oracle_method,selection_correct,heldout_selected,heldout_oracle,regret,spearman_rho,mean_abs_rank_shift,norm_rank_shift,chance_value,norm_regret,regret_fixed__baseline,regret_fixed__seed_ensemble,regret_fixed__teacher_student_mixture,regret_fixed__augmentation,regret_fixed__crop_aggregation,regret_fixed__brier_loss,regret_fixed__calibration_grid,regret_fixed__stronger_teacher,regret_fixed__swa_ema,regret_fixed__calibration_checkpoint,regret_fixed__architecture
BNCI2014_001,BNCI2014_001,1,4,Brier,teacher_student_mixture,teacher_student_mixture,True,0.2452899706012873,0.2452899706012873,0.0,0.39999999999999997,1.0,0.3333333333333333,0.75,0.0,0.02385246049615239,0.012941183821771979,0.0,0.05486899167056622,,,,,,,
BNCI2014_001,BNCI2014_001,2,4,Brier,augmentation,teacher_student_mixture,False,0.7229830940289664,0.5997133819284657,0.12326971210050075,-0.39999999999999997,1.5,0.5,0.75,0.164359616134001,0.10246652006170798,0.10185722204402414,0.0,0.12326971210050075,,,,,,,
BNCI2014_001,BNCI2014_001,3,4,Brier,teacher_student_mixture,baseline,False,0.2066741943446036,0.1948154950753231,0.011858699269280515,0.39999999999999997,1.0,0.3333333333333333,0.75,0.015811599025707352,0.0,0.0451069201837794,0.011858699269280515,0.035921370934903524,,,,,,,
BNCI2014_001,BNCI2014_001,4,4,Brier,teacher_student_mixture,seed_ensemble,False,0.4431934876892827,0.4330014029756274,0.010192084713655292,-0.3333333333333334,1.5,0.5,0.75,0.013589446284873722,0.015054548966527581,0.0,0.010192084713655292,0.015054548966527581,,,,,,,
BNCI2014_001,BNCI2014_001,5,4,Brier,augmentation,augmentation,True,0.6786258272099587,0.6786258272099587,0.0,0.7999999999999999,0.5,0.16666666666666666,0.75,0.0,0.01817136450303125,0.005786127006110586,0.01831884957503216,0.0,,,,,,,
BNCI2014_001,BNCI2014_001,6,4,Brier,seed_ensemble,seed_ensemble,True,0.578352182054894,0.578352182054894,0.0,0.19999999999999998,1.0,0.3333333333333333,0.75,0.0,0.04081288244651471,0.0,0.046210320524324056,0.025417540086042356,,,,,,,
BNCI2014_001,BNCI2014_001,7,4,Brier,teacher_student_mixture,baseline,False,0.4169180275411544,0.2887059934926252,0.1282120340485292,-0.3333333333333334,1.5,0.5,0.75,0.17094937873137228,0.0,0.05068189407650198,0.1282120340485292,0.0,,,,,,,
BNCI2014_001,BNCI2014_001,8,4,Brier,teacher_student_mixture,augmentation,False,0.2916043246420517,0.2482814043955397,0.04332292024651202,-0.19999999999999998,1.5,0.5,0.75,0.05776389366201603,0.012217450157837817,0.013083797383185991,0.04332292024651202,0.0,,,,,,,
BNCI2014_001,BNCI2014_001,9,4,Brier,seed_ensemble,seed_ensemble,True,0.2938134268827215,0.2938134268827215,0.0,0.39999999999999997,1.0,0.3333333333333333,0.75,0.0,0.012104251302674396,0.0,0.026480695043210323,0.03326693989389812,,,,,,,
BNCI2014_004,BNCI2014_004,1,4,Brier,teacher_student_mixture,teacher_student_mixture,True,0.4041076879459899,0.4041076879459899,0.0,1.0,0.0,0.0,0.5,0.0,0.036445119502080514,0.011408719817313118,0.0,0.036445119502080514,,,,,,,
